"","latitude","longitude","stateroute","optional"
"1",64.552796,-141.2785932,3001,TRUE
"2",65.2698047,-146.727508,3003,TRUE
"3",64.2556227,-146.0769649,3004,TRUE
"4",62.5131787,-143.1732939,3006,TRUE
"5",62.7247807,-143.8893879,3007,TRUE
"6",63.6152141,-143.9862892,3008,TRUE
"7",62.4798162,-144.828553,3009,TRUE
"8",63.0127307,-141.8052529,3010,TRUE
"9",61.4001137,-149.842561,3017,TRUE
"10",60.4588347,-150.274628,3018,TRUE
"11",61.7327327,-148.752472,3029,TRUE
"12",61.6593477,-150.1403586,3030,TRUE
"13",64.9459157,-146.250915,3040,TRUE
"14",64.5464143,-146.9948586,3041,TRUE
"15",64.8922107,-147.541411,3042,TRUE
"16",61.7342231,-144.9583298,3052,TRUE
"17",61.937256,-147.1759823,3053,TRUE
"18",62.3624206,-145.3725998,3054,TRUE
"19",61.6605217,-145.1834259,3055,TRUE
"20",64.1668176,-141.4111936,3101,TRUE
"21",62.0285997,-145.3989869,3112,TRUE
"22",62.7457057,-150.121842,3113,TRUE
"23",61.58697,-149.4276,3117,TRUE
"24",65.0544087,-146.0599662,3142,TRUE
"25",62.2317426,-146.515638,3212,TRUE
"26",62.3970477,-150.262923,3213,TRUE
"27",60.7796745,-149.5527653,3216,TRUE
"28",61.6306207,-149.830079,3217,TRUE
"29",62.3172987,-150.2366378,3313,TRUE
"30",61.4001417,-149.842437,3401,TRUE
"31",64.0157146,-145.7282965,3406,TRUE
"32",61.5640897,-149.350356,3417,TRUE
"33",63.6093407,-142.3235417,3420,TRUE
"34",59.5294227,-135.3507079,3425,TRUE
"35",64.9122387,-147.942277,3428,TRUE
"36",63.856257,-145.7381802,3431,TRUE
"37",55.9156605,-130.0162113,3439,TRUE
"38",61.9166667,-147.6666667,3812,TRUE
"39",61,-149,3817,TRUE
"40",61.2560417,-149.544356,3832,TRUE
"41",63.0291587,-145.4974345,3901,TRUE
"42",62.4422837,-143.0712119,3902,TRUE
"43",61.5260959,-144.4072212,3903,TRUE
"44",61.4337187,-142.9452499,3905,TRUE
"45",49.08995,-112.39699,4003,TRUE
"46",49.81509,-113.56982,4004,TRUE
"47",49.6325,-114.58692,4005,TRUE
"48",50.48053,-114.42456,4010,TRUE
"49",51.09521,-115.09111,4016,TRUE
"50",51.46021,-116.22023,4017,TRUE
"51",52.49814,-116.00016,4023,TRUE
"52",52.25872,-116.39168,4024,TRUE
"53",52.73141,-117.63709,4025,TRUE
"54",53.3741,-117.71063,4033,TRUE
"55",53.81254,-118.48345,4034,TRUE
"56",50.98545,-115.07526,4096,TRUE
"57",49.90214,-113.09867,4104,TRUE
"58",49.0201,-114.04528,4105,TRUE
"59",50.42635,-113.82728,4109,TRUE
"60",50.54263,-114.09345,4110,TRUE
"61",51.66166,-115.40694,4116,TRUE
"62",52.20935,-115.96781,4123,TRUE
"63",52.48771,-117.51832,4125,TRUE
"64",50.6917,-115.13917,4196,TRUE
"65",49.38423,-112.65106,4203,TRUE
"66",49.26174,-113.65683,4204,TRUE
"67",49.63589,-114.48967,4205,TRUE
"68",50.48464,-113.39021,4209,TRUE
"69",50.51364,-114.2469,4210,TRUE
"70",51.21046,-114.7631,4215,TRUE
