sort v2019,Clements v2019 change,text for website v2019,category,page 6.0,English name,scientific name,range,order,family,extinct,extinct year,sort v2018,page 6.0
1,,,species,2,Common Ostrich,Struthio camelus,,Struthioniformes,Struthionidae (Ostriches),,,1,2
2,,,subspecies,2,,Struthio camelus camelus,Sahel of North Africa and the Sudan,Struthioniformes,Struthionidae (Ostriches),,,2,2
3,,,subspecies,2,,Struthio camelus syriacus,Formerly Syrian and Arabian deserts. Extinct ca. 1966,Struthioniformes,Struthionidae (Ostriches),1,1966,3,2
4,,,subspecies,2,,Struthio camelus massaicus,S Kenya and e Tanzania,Struthioniformes,Struthionidae (Ostriches),,,4,2
5,,,subspecies,2,,Struthio camelus australis,Southern Africa,Struthioniformes,Struthionidae (Ostriches),,,5,2
6,,,species,2,Somali Ostrich,Struthio molybdophanes,S Ethiopia to Somalia and adjacent ne Kenya,Struthioniformes,Struthionidae (Ostriches),,,6,2
8,,,species,2,Greater Rhea,Rhea americana,,Rheiformes,Rheidae (Rheas),,,8,2
9,,,subspecies,2,,Rhea americana araneipes,"western Brazil (southern Rondônia and Mato Grosso), eastern Bolivia, and western Paraguay (chaco region)",Rheiformes,Rheidae (Rheas),,,9,2
10,,,subspecies,2,,Rhea americana americana,central and northeastern Brazil (to Rio Grande do Norte) to southern Brazil (south to São Paulo and Paraná),Rheiformes,Rheidae (Rheas),,,10,2
11,,,subspecies,2,,Rhea americana nobilis,E Paraguay (east of the Río Paraguay),Rheiformes,Rheidae (Rheas),,,11,2
12,,,subspecies,2,,Rhea americana albescens,Plains of Argentina south to Río Negro,Rheiformes,Rheidae (Rheas),,,12,2
13,,,subspecies,2,,Rhea americana intermedia,extreme southern Brazil (Rio Grande do Sul) and Uruguay,Rheiformes,Rheidae (Rheas),,,13,2
14,,,species,2,Lesser Rhea,Rhea pennata,,Rheiformes,Rheidae (Rheas),,,14,2
15,,,group (polytypic),,Lesser Rhea (Puna),Rhea pennata tarapacensis/garleppi,,Rheiformes,Rheidae (Rheas),,,15,
16,,,subspecies,2,,Rhea pennata garleppi,"Desert puna of se Peru, sw Bolivia and nw Argentina",Rheiformes,Rheidae (Rheas),,,16,2
17,,,subspecies,2,,Rhea pennata tarapacensis,Puna of n Chile (Arica to Atacama),Rheiformes,Rheidae (Rheas),,,17,2
18,,,group (monotypic),2,Lesser Rhea (Darwin's),Rhea pennata pennata,Patagonian steppes of s Argentina and Magellanic Chile,Rheiformes,Rheidae (Rheas),,,18,2
19,,,species,3,Tawny-breasted Tinamou,Nothocercus julius,Andes of central Colombia and extreme w Venezuela; s-c Peru,Tinamiformes,Tinamidae (Tinamous),,,19,3
20,,,species,3,Highland Tinamou,Nothocercus bonapartei,,Tinamiformes,Tinamidae (Tinamous),,,20,3
21,,,group (polytypic),,Highland Tinamou (South American),Nothocercus bonapartei [bonapartei Group],,Tinamiformes,Tinamidae (Tinamous),,,21,
22,,,subspecies,3,,Nothocercus bonapartei intercedens,W Andes of Colombia,Tinamiformes,Tinamidae (Tinamous),,,22,3
23,,,subspecies,3,,Nothocercus bonapartei discrepans,Base of Eastern Andes of Colombia (Tolima and Meta),Tinamiformes,Tinamidae (Tinamous),,,23,3
24,,,subspecies,3,,Nothocercus bonapartei bonapartei,Central and E Andes of Colombia and w Venezuela,Tinamiformes,Tinamidae (Tinamous),,,24,3
25,,,subspecies,3,,Nothocercus bonapartei plumbeiceps,Andes of e Ecuador to extreme n Peru,Tinamiformes,Tinamidae (Tinamous),,,25,3
26,,,group (monotypic),3,Highland Tinamou (Costa Rican),Nothocercus bonapartei frantzii,Highlands of Costa Rica and w Panama,Tinamiformes,Tinamidae (Tinamous),,,26,3
27,,,species,3,Hooded Tinamou,Nothocercus nigrocapillus,,Tinamiformes,Tinamidae (Tinamous),,,27,3
28,,,subspecies,3,,Nothocercus nigrocapillus cadwaladeri,Andes of nw Peru,Tinamiformes,Tinamidae (Tinamous),,,28,3
29,,,subspecies,3,,Nothocercus nigrocapillus nigrocapillus,Andes of central Peru to Bolivia,Tinamiformes,Tinamidae (Tinamous),,,29,3
30,,,species,3,Gray Tinamou,Tinamus tao,,Tinamiformes,Tinamidae (Tinamous),,,30,3
31,,,subspecies,3,,Tinamus tao larensis,Montane forests of central Colombia and nw Venezuela,Tinamiformes,Tinamidae (Tinamous),,,31,3
32,,,subspecies,3,,Tinamus tao kleei,"S-c Colombia to e Ecuador, e Peru, e Bolivia and w Brazil",Tinamiformes,Tinamidae (Tinamous),,,32,3
33,,,subspecies,3,,Tinamus tao septentrionalis,NE Venezuela and (?) nw Guyana,Tinamiformes,Tinamidae (Tinamous),,,33,3
34,,,subspecies,3,,Tinamus tao tao,N-central Brazil to borders of e Peru and Bolivia,Tinamiformes,Tinamidae (Tinamous),,,34,3
35,,,species,3,Solitary Tinamou,Tinamus solitarius,E Brazil to se Paraguay and extreme ne Argentina (Misiones),Tinamiformes,Tinamidae (Tinamous),,,35,3
36,,,species,3,Black Tinamou,Tinamus osgoodi,,Tinamiformes,Tinamidae (Tinamous),,,36,3
37,,,subspecies,3,,Tinamus osgoodi hershkovitzi,Andes of s-central Colombia,Tinamiformes,Tinamidae (Tinamous),,,37,3
38,,,subspecies,3,,Tinamus osgoodi osgoodi,Andes of se Peru,Tinamiformes,Tinamidae (Tinamous),,,38,3
39,,,species,3,Great Tinamou,Tinamus major,,Tinamiformes,Tinamidae (Tinamous),,,39,3
40,,,subspecies,3,,Tinamus major robustus,Lowlands of se Mexico to Guatemala and n Nicaragua,Tinamiformes,Tinamidae (Tinamous),,,40,3
41,,,subspecies,3,,Tinamus major percautus,SE Mexico (Yucatán Pen.) to Petén of Guatemala and Belize,Tinamiformes,Tinamidae (Tinamous),,,41,3
42,,,subspecies,3,,Tinamus major fuscipennis,N Nicaragua to Costa Rica and w Panama,Tinamiformes,Tinamidae (Tinamous),,,42,3
43,,,subspecies,3,,Tinamus major castaneiceps,SW Costa Rica and w Panama,Tinamiformes,Tinamidae (Tinamous),,,43,3
44,,,subspecies,3,,Tinamus major brunneiventris,S-central Panama,Tinamiformes,Tinamidae (Tinamous),,,44,3
45,,,subspecies,3,,Tinamus major saturatus,Pacific slope of e Panama and nw Colombia,Tinamiformes,Tinamidae (Tinamous),,,45,3
46,,,subspecies,3,,Tinamus major latifrons,SW Colombia and w Ecuador,Tinamiformes,Tinamidae (Tinamous),,,46,3
47,,,subspecies,3,,Tinamus major zuliensis,Tropical ne Colombia and w Venezuela,Tinamiformes,Tinamidae (Tinamous),,,47,3
48,,,subspecies,3,,Tinamus major peruvianus,SE Colombia east of the Andes to Bolivia and extreme w Brazil,Tinamiformes,Tinamidae (Tinamous),,,48,3
49,,,subspecies,3,,Tinamus major serratus,Extreme s Venezuela and adjacent nw Brazil,Tinamiformes,Tinamidae (Tinamous),,,49,3
50,,,subspecies,3,,Tinamus major major,E Venezuela to the Guianas and ne Brazil,Tinamiformes,Tinamidae (Tinamous),,,50,3
51,,,subspecies,3,,Tinamus major olivascens,Amazonian Brazil,Tinamiformes,Tinamidae (Tinamous),,,51,3
52,,,species,3,White-throated Tinamou,Tinamus guttatus,SE Colombia and s Venezuela to n Bolivia and Amaz. Brazil,Tinamiformes,Tinamidae (Tinamous),,,52,3
54,,,species,3,Cinereous Tinamou,Crypturellus cinereus,"SE Colombia to Guianas, s Venezuela, n Bolivia and ne Brazil",Tinamiformes,Tinamidae (Tinamous),,,54,3
55,,,species,3,Berlepsch's Tinamou,Crypturellus berlepschi,Tropical forests of nw Colombia to nw Ecuador,Tinamiformes,Tinamidae (Tinamous),,,55,3
56,,,species,3,Little Tinamou,Crypturellus soui,,Tinamiformes,Tinamidae (Tinamous),,,56,3
57,,,subspecies,3,,Crypturellus soui meserythrus,"Tropical s Mexico to Belize, Honduras and se Nicaragua",Tinamiformes,Tinamidae (Tinamous),,,57,3
58,,,subspecies,3,,Crypturellus soui modestus,Costa Rica and w Panama,Tinamiformes,Tinamidae (Tinamous),,,58,3
59,,,subspecies,4,,Crypturellus soui capnodes,Humid lowlands of nw Panama,Tinamiformes,Tinamidae (Tinamous),,,59,4
60,,,subspecies,4,,Crypturellus soui poliocephalus,Pacific slope of Panama (Veraguas to Canal Zone),Tinamiformes,Tinamidae (Tinamous),,,60,4
61,,,subspecies,4,,Crypturellus soui panamensis,Pacific and Caribbean slopes of Panama,Tinamiformes,Tinamidae (Tinamous),,,61,4
62,,,subspecies,4,,Crypturellus soui harterti,Pacific slope of Colombia and Ecuador,Tinamiformes,Tinamidae (Tinamous),,,62,4
63,,,subspecies,4,,Crypturellus soui caucae,Magdalena Valley of n-central Colombia,Tinamiformes,Tinamidae (Tinamous),,,63,4
64,,,subspecies,4,,Crypturellus soui mustelinus,NE Colombia and extreme nw Venezuela,Tinamiformes,Tinamidae (Tinamous),,,64,4
65,,,subspecies,4,,Crypturellus soui soui,E Colombia to the Guianas and ne Brazil,Tinamiformes,Tinamidae (Tinamous),,,65,4
