4560,Eastern Phoebe,Tyrannidae,Gray Kingbird,4450
4949,Brown-headed Cowbird,Icteridae,Eastern Meadowlark,5011
4950,Brown-headed Cowbird,Icteridae,Western Meadowlark,5012
4960,Bronzed Cowbird,Icteridae,Great-tailed Grackle,5135
5011,Western Meadowlark,Icteridae,Great-tailed Grackle,5135
5080,Bullock's Oriole,Icteridae,Great-tailed Grackle,5135
6110,Purple Martin,Hirundinidae,Cliff Swallow,6122
6130,Barn Swallow,Hirundinidae,Cliff Swallow,6122
6140,Tree Swallow,Hirundinidae,Cliff Swallow,6122
6170,Northern Rough-winged Swallow,Hirundinidae,Cliff Swallow,6122
7610,American Robin,Turdidae,Northern Wheatear,7650
2890,Northern Bobwhite,Odontophoridae,Scaled Quail,2930
2930,Scaled Quail,Odontophoridae,Gambel's Quail,2950
2930,Scaled Quail,Odontophoridae,Northern Bobwhite,2890
2930,Scaled Quail,Odontophoridae,Montezuma Quail,2960
2940,California Quail,Odontophoridae,Mountain Quail,2920
2950,Gambel's Quail,Odontophoridae,Scaled Quail,2930
2950,Gambel's Quail,Odontophoridae,Montezuma Quail,2960
3131,Rock Pigeon,Columbidae,Red-billed Pigeon,3130
3131,Rock Pigeon,Columbidae,Band-tailed Pigeon,3120
3131,Rock Pigeon,Columbidae,Eurasian Collared-Dove,22860
3131,Rock Pigeon,Columbidae,White-winged Dove,3190
3131,Rock Pigeon,Columbidae,Mourning Dove,3160
3131,Rock Pigeon,Columbidae,Inca Dove,3210
3131,Rock Pigeon,Columbidae,Common Ground-Dove,3200
3160,Mourning Dove,Columbidae,Rock Pigeon,3131
3160,Mourning Dove,Columbidae,Band-tailed Pigeon,3120
3160,Mourning Dove,Columbidae,Eurasian Collared-Dove,22860
3160,Mourning Dove,Columbidae,White-winged Dove,3190
3160,Mourning Dove,Columbidae,Inca Dove,3210
3160,Mourning Dove,Columbidae,Common Ground-Dove,3200
3190,White-winged Dove,Columbidae,Rock Pigeon,3131
3190,White-winged Dove,Columbidae,Band-tailed Pigeon,3120
3190,White-winged Dove,Columbidae,Eurasian Collared-Dove,22860
3190,White-winged Dove,Columbidae,Mourning Dove,3160
3190,White-winged Dove,Columbidae,Inca Dove,3210
3190,White-winged Dove,Columbidae,Common Ground-Dove,3200
3200,Common Ground-Dove,Columbidae,Rock Pigeon,3131
3200,Common Ground-Dove,Columbidae,Eurasian Collared-Dove,22860
3200,Common Ground-Dove,Columbidae,White-winged Dove,3190
3200,Common Ground-Dove,Columbidae,Mourning Dove,3160
3200,Common Ground-Dove,Columbidae,Inca Dove,3210
3200,Common Ground-Dove,Columbidae,White-tipped Dove,3180
3870,Yellow-billed Cuckoo,Cuculidae,Black-billed Cuckoo,3880
3870,Yellow-billed Cuckoo,Cuculidae,Greater Roadrunner,3850
3930,Hairy Woodpecker,Picidae,Lewis's Woodpecker,4080
3930,Hairy Woodpecker,Picidae,Red-headed Woodpecker,4060
3930,Hairy Woodpecker,Picidae,Acorn Woodpecker,4070
3930,Hairy Woodpecker,Picidae,Gila Woodpecker,4110
3930,Hairy Woodpecker,Picidae,Golden-fronted Woodpecker,4100
3930,Hairy Woodpecker,Picidae,Red-bellied Woodpecker,4090
3930,Hairy Woodpecker,Picidae,Williamson's Sapsucker,4040
3930,Hairy Woodpecker,Picidae,Yellow-bellied Sapsucker,4020
3930,Hairy Woodpecker,Picidae,Red-naped Sapsucker,4021
3930,Hairy Woodpecker,Picidae,Red-breasted Sapsucker,4030
3930,Hairy Woodpecker,Picidae,Ladder-backed Woodpecker,3960
3930,Hairy Woodpecker,Picidae,Nuttall's Woodpecker,3970
3930,Hairy Woodpecker,Picidae,Downy Woodpecker,3940
3930,Hairy Woodpecker,Picidae,Hairy Woodpecker,3930
3930,Hairy Woodpecker,Picidae,Arizona Woodpecker,3975
3930,Hairy Woodpecker,Picidae,Red-cockaded Woodpecker,3950
3930,Hairy Woodpecker,Picidae,White-headed Woodpecker,3990
3930,Hairy Woodpecker,Picidae,American Three-toed Woodpecker,4010
3930,Hairy Woodpecker,Picidae,Black-backed Woodpecker,4000
3930,Hairy Woodpecker,Picidae,Northern Flicker,4120
3930,Hairy Woodpecker,Picidae,Gilded Flicker,4140
3930,Hairy Woodpecker,Picidae,Pileated Woodpecker,4050
3940,Downy Woodpecker,Picidae,Lewis's Woodpecker,4080
3940,Downy Woodpecker,Picidae,Red-headed Woodpecker,4060
3940,Downy Woodpecker,Picidae,Acorn Woodpecker,4070
3940,Downy Woodpecker,Picidae,Golden-fronted Woodpecker,4100
3940,Downy Woodpecker,Picidae,Red-bellied Woodpecker,4090
3940,Downy Woodpecker,Picidae,Williamson's Sapsucker,4040
3940,Downy Woodpecker,Picidae,Yellow-bellied Sapsucker,4020
3940,Downy Woodpecker,Picidae,Red-naped Sapsucker,4021
3940,Downy Woodpecker,Picidae,Red-breasted Sapsucker,4030
3940,Downy Woodpecker,Picidae,Ladder-backed Woodpecker,3960
3940,Downy Woodpecker,Picidae,Nuttall's Woodpecker,3970
3940,Downy Woodpecker,Picidae,Hairy Woodpecker,3930
3940,Downy Woodpecker,Picidae,Red-cockaded Woodpecker,3950
3940,Downy Woodpecker,Picidae,White-headed Woodpecker,3990
3940,Downy Woodpecker,Picidae,American Three-toed Woodpecker,4010
3940,Downy Woodpecker,Picidae,Black-backed Woodpecker,4000
3940,Downy Woodpecker,Picidae,Northern Flicker,4120
3940,Downy Woodpecker,Picidae,Pileated Woodpecker,4050
3960,Ladder-backed Woodpecker,Picidae,Lewis's Woodpecker,4080
3960,Ladder-backed Woodpecker,Picidae,Red-headed Woodpecker,4060
3960,Ladder-backed Woodpecker,Picidae,Acorn Woodpecker,4070
3960,Ladder-backed Woodpecker,Picidae,Gila Woodpecker,4110
3960,Ladder-backed Woodpecker,Picidae,Golden-fronted Woodpecker,4100
3960,Ladder-backed Woodpecker,Picidae,Red-bellied Woodpecker,4090
3960,Ladder-backed Woodpecker,Picidae,Red-naped Sapsucker,4021
3960,Ladder-backed Woodpecker,Picidae,Nuttall's Woodpecker,3970
3960,Ladder-backed Woodpecker,Picidae,Downy Woodpecker,3940
3960,Ladder-backed Woodpecker,Picidae,Hairy Woodpecker,3930
3960,Ladder-backed Woodpecker,Picidae,Arizona Woodpecker,3975
3960,Ladder-backed Woodpecker,Picidae,White-headed Woodpecker,3990
3960,Ladder-backed Woodpecker,Picidae,American Three-toed Woodpecker,4010
3960,Ladder-backed Woodpecker,Picidae,Northern Flicker,4120
3960,Ladder-backed Woodpecker,Picidae,Gilded Flicker,4140
3960,Ladder-backed Woodpecker,Picidae,Pileated Woodpecker,4050
3970,Nuttall's Woodpecker,Picidae,Lewis's Woodpecker,4080
3970,Nuttall's Woodpecker,Picidae,Acorn Woodpecker,4070
3970,Nuttall's Woodpecker,Picidae,Williamson's Sapsucker,4040
3970,Nuttall's Woodpecker,Picidae,Red-breasted Sapsucker,4030
3970,Nuttall's Woodpecker,Picidae,Ladder-backed Woodpecker,3960
3970,Nuttall's Woodpecker,Picidae,Downy Woodpecker,3940
3970,Nuttall's Woodpecker,Picidae,Hairy Woodpecker,3930
3970,Nuttall's Woodpecker,Picidae,White-headed Woodpecker,3990
3970,Nuttall's Woodpecker,Picidae,Black-backed Woodpecker,4000
3970,Nuttall's Woodpecker,Picidae,Northern Flicker,4120
3970,Nuttall's Woodpecker,Picidae,Pileated Woodpecker,4050
4020,Yellow-bellied Sapsucker,Picidae,Red-headed Woodpecker,4060
4020,Yellow-bellied Sapsucker,Picidae,Red-bellied Woodpecker,4090
4020,Yellow-bellied Sapsucker,Picidae,Downy Woodpecker,3940
4020,Yellow-bellied Sapsucker,Picidae,Hairy Woodpecker,3930
4020,Yellow-bellied Sapsucker,Picidae,American Three-toed Woodpecker,4010
4020,Yellow-bellied Sapsucker,Picidae,Black-backed Woodpecker,4000
4020,Yellow-bellied Sapsucker,Picidae,Northern Flicker,4120
4020,Yellow-bellied Sapsucker,Picidae,Pileated Woodpecker,4050
4050,Pileated Woodpecker,Picidae,Lewis's Woodpecker,4080
4050,Pileated Woodpecker,Picidae,Red-headed Woodpecker,4060
4050,Pileated Woodpecker,Picidae,Acorn Woodpecker,4070
4050,Pileated Woodpecker,Picidae,Golden-fronted Woodpecker,4100
4050,Pileated Woodpecker,Picidae,Red-bellied Woodpecker,4090
4050,Pileated Woodpecker,Picidae,Williamson's Sapsucker,4040
4050,Pileated Woodpecker,Picidae,Yellow-bellied Sapsucker,4020
4050,Pileated Woodpecker,Picidae,Red-naped Sapsucker,4021
4050,Pileated Woodpecker,Picidae,Red-breasted Sapsucker,4030
4050,Pileated Woodpecker,Picidae,Ladder-backed Woodpecker,3960
4050,Pileated Woodpecker,Picidae,Nuttall's Woodpecker,3970
4050,Pileated Woodpecker,Picidae,Downy Woodpecker,3940
4050,Pileated Woodpecker,Picidae,Hairy Woodpecker,3930
4050,Pileated Woodpecker,Picidae,Red-cockaded Woodpecker,3950
4050,Pileated Woodpecker,Picidae,White-headed Woodpecker,3990
4050,Pileated Woodpecker,Picidae,American Three-toed Woodpecker,4010
4050,Pileated Woodpecker,Picidae,Black-backed Woodpecker,4000
4050,Pileated Woodpecker,Picidae,Northern Flicker,4120
4090,Red-bellied Woodpecker,Picidae,Red-headed Woodpecker,4060
4090,Red-bellied Woodpecker,Picidae,Golden-fronted Woodpecker,4100
4090,Red-bellied Woodpecker,Picidae,Yellow-bellied Sapsucker,4020
4090,Red-bellied Woodpecker,Picidae,Ladder-backed Woodpecker,3960
4090,Red-bellied Woodpecker,Picidae,Downy Woodpecker,3940
4090,Red-bellied Woodpecker,Picidae,Hairy Woodpecker,3930
4090,Red-bellied Woodpecker,Picidae,Red-cockaded Woodpecker,3950
4090,Red-bellied Woodpecker,Picidae,Black-backed Woodpecker,4000
4090,Red-bellied Woodpecker,Picidae,Northern Flicker,4120
4090,Red-bellied Woodpecker,Picidae,Pileated Woodpecker,4050
4100,Golden-fronted Woodpecker,Picidae,Red-headed Woodpecker,4060
4100,Golden-fronted Woodpecker,Picidae,Acorn Woodpecker,4070
4100,Golden-fronted Woodpecker,Picidae,Red-bellied Woodpecker,4090
4100,Golden-fronted Woodpecker,Picidae,Red-naped Sapsucker,4021
4100,Golden-fronted Woodpecker,Picidae,Ladder-backed Woodpecker,3960
4100,Golden-fronted Woodpecker,Picidae,Downy Woodpecker,3940
4100,Golden-fronted Woodpecker,Picidae,Hairy Woodpecker,3930
4100,Golden-fronted Woodpecker,Picidae,Northern Flicker,4120
4100,Golden-fronted Woodpecker,Picidae,Pileated Woodpecker,4050
4110,Gila Woodpecker,Picidae,Acorn Woodpecker,4070
4110,Gila Woodpecker,Picidae,Red-naped Sapsucker,4021
4110,Gila Woodpecker,Picidae,Ladder-backed Woodpecker,3960
4110,Gila Woodpecker,Picidae,Hairy Woodpecker,3930
4110,Gila Woodpecker,Picidae,Arizona Woodpecker,3975
4110,Gila Woodpecker,Picidae,Northern Flicker,4120
4110,Gila Woodpecker,Picidae,Gilded Flicker,4140
4120,Northern Flicker,Picidae,Lewis's Woodpecker,4080
4120,Northern Flicker,Picidae,Red-headed Woodpecker,4060
4120,Northern Flicker,Picidae,Acorn Woodpecker,4070
4120,Northern Flicker,Picidae,Gila Woodpecker,4110
4120,Northern Flicker,Picidae,Golden-fronted Woodpecker,4100
4120,Northern Flicker,Picidae,Red-bellied Woodpecker,4090
4120,Northern Flicker,Picidae,Williamson's Sapsucker,4040
4120,Northern Flicker,Picidae,Yellow-bellied Sapsucker,4020
4120,Northern Flicker,Picidae,Red-naped Sapsucker,4021
4120,Northern Flicker,Picidae,Red-breasted Sapsucker,4030
4120,Northern Flicker,Picidae,Ladder-backed Woodpecker,3960
4120,Northern Flicker,Picidae,Nuttall's Woodpecker,3970
4120,Northern Flicker,Picidae,Downy Woodpecker,3940
4120,Northern Flicker,Picidae,Hairy Woodpecker,3930
4120,Northern Flicker,Picidae,Arizona Woodpecker,3975
4120,Northern Flicker,Picidae,Red-cockaded Woodpecker,3950
4120,Northern Flicker,Picidae,White-headed Woodpecker,3990
4120,Northern Flicker,Picidae,American Three-toed Woodpecker,4010
4120,Northern Flicker,Picidae,Black-backed Woodpecker,4000
4120,Northern Flicker,Picidae,Gilded Flicker,4140
4120,Northern Flicker,Picidae,Pileated Woodpecker,4050
4430,Scissor-tailed Flycatcher,Tyrannidae,Northern Beardless-Tyrannulet,4720
4430,Scissor-tailed Flycatcher,Tyrannidae,Olive-sided Flycatcher,4590
4430,Scissor-tailed Flycatcher,Tyrannidae,Western Wood-Pewee,4620
4430,Scissor-tailed Flycatcher,Tyrannidae,Eastern Wood-Pewee,4610
4430,Scissor-tailed Flycatcher,Tyrannidae,Acadian Flycatcher,4650
4430,Scissor-tailed Flycatcher,Tyrannidae,Alder Flycatcher,4661
4430,Scissor-tailed Flycatcher,Tyrannidae,Willow Flycatcher,4660
4430,Scissor-tailed Flycatcher,Tyrannidae,Least Flycatcher,4670
4430,Scissor-tailed Flycatcher,Tyrannidae,Gray Flycatcher,4691
4430,Scissor-tailed Flycatcher,Tyrannidae,Cordilleran Flycatcher,4640
