Variable,Estimate,Q2.5,Q97.5,Focal,Family
,0.539991222,0.138962749,0.947749638,Bushtit,Aegithalidae
c_s,0.952154299,0.783238752,1.123355905,Bushtit,Aegithalidae
abTemp,-0.711719104,-0.856194093,-0.567717545,Bushtit,Aegithalidae
abElev,-0.200483787,-0.396693968,-0.001857858,Bushtit,Aegithalidae
abPrecip,-0.509446252,-0.710927005,-0.308301131,Bushtit,Aegithalidae
abNDVI,-0.245852072,-0.41548805,-0.074068531,Bushtit,Aegithalidae
,0.140939695,-1.064355524,1.373532005,Cedar Waxwing,Bombycillidae
c_s,0.452351914,-0.746452362,1.671021408,Cedar Waxwing,Bombycillidae
abTemp,-0.362746379,-0.459060509,-0.267926077,Cedar Waxwing,Bombycillidae
abElev,-0.122866417,-0.218523073,-0.027596019,Cedar Waxwing,Bombycillidae
abPrecip,-0.207300263,-0.300819614,-0.110577339,Cedar Waxwing,Bombycillidae
abNDVI,0.047374999,-0.018082586,0.115099531,Cedar Waxwing,Bombycillidae
,-0.853224722,-1.184240017,-0.517012479,Black-headed Grosbeak,Cardinalidae
c_s,0.005147194,-0.135556789,0.150381182,Black-headed Grosbeak,Cardinalidae
abTemp,0.09648389,-0.017416705,0.209724683,Black-headed Grosbeak,Cardinalidae
abElev,0.144548136,0.019410997,0.272605143,Black-headed Grosbeak,Cardinalidae
abPrecip,-0.356496179,-0.531250236,-0.181514427,Black-headed Grosbeak,Cardinalidae
abNDVI,0.165265401,0.066663966,0.265638828,Black-headed Grosbeak,Cardinalidae
,1.118940988,0.794220388,1.446281673,Blue Grosbeak,Cardinalidae
c_s,0.116840945,-0.023894741,0.261098297,Blue Grosbeak,Cardinalidae
abTemp,-0.568031926,-0.66753512,-0.467972069,Blue Grosbeak,Cardinalidae
abElev,-0.191563934,-0.348838808,-0.03231474,Blue Grosbeak,Cardinalidae
abPrecip,0.382596302,0.270443737,0.496431665,Blue Grosbeak,Cardinalidae
abNDVI,-0.276094401,-0.363638388,-0.187932662,Blue Grosbeak,Cardinalidae
,2.148653095,1.833462608,2.472861728,Dickcissel,Cardinalidae
c_s,-0.642677713,-0.774853241,-0.509657337,Dickcissel,Cardinalidae
abTemp,-0.502679384,-0.603234928,-0.40417873,Dickcissel,Cardinalidae
abElev,-0.472376897,-0.582692272,-0.364263528,Dickcissel,Cardinalidae
abPrecip,-0.144673842,-0.24337578,-0.042448675,Dickcissel,Cardinalidae
abNDVI,-0.362262213,-0.462493565,-0.26275257,Dickcissel,Cardinalidae
,3.562696279,3.235791833,3.891058398,Indigo Bunting,Cardinalidae
c_s,-0.005727849,-0.151694702,0.138898818,Indigo Bunting,Cardinalidae
abTemp,-1.007381208,-1.119918735,-0.894328652,Indigo Bunting,Cardinalidae
abElev,-0.027599733,-0.12626753,0.069260853,Indigo Bunting,Cardinalidae
abPrecip,-0.314494671,-0.414673567,-0.213734499,Indigo Bunting,Cardinalidae
abNDVI,-0.153031057,-0.226059104,-0.077907653,Indigo Bunting,Cardinalidae
,5.359991866,4.900676414,5.817293406,Northern Cardinal,Cardinalidae
c_s,-1.807942695,-2.066494213,-1.554729081,Northern Cardinal,Cardinalidae
abTemp,-3.369960741,-3.563829575,-3.177726519,Northern Cardinal,Cardinalidae
abElev,-0.164740938,-0.332483791,0.00230144,Northern Cardinal,Cardinalidae
abPrecip,-0.131391011,-0.270284567,0.005147362,Northern Cardinal,Cardinalidae
abNDVI,0.324282131,0.199942245,0.449150108,Northern Cardinal,Cardinalidae
,1.416047058,0.953331737,1.88803838,Painted Bunting,Cardinalidae
c_s,-0.555496325,-0.736314141,-0.373790948,Painted Bunting,Cardinalidae
abTemp,-0.47770709,-0.630812014,-0.326913302,Painted Bunting,Cardinalidae
abElev,-0.017302141,-0.202489263,0.162941577,Painted Bunting,Cardinalidae
abPrecip,-0.574886065,-0.784600519,-0.362115274,Painted Bunting,Cardinalidae
abNDVI,0.400526258,0.26946604,0.53029853,Painted Bunting,Cardinalidae
,0.486579876,0.198628289,0.781596914,Rose-breasted Grosbeak,Cardinalidae
c_s,0.164817247,0.035769747,0.291935745,Rose-breasted Grosbeak,Cardinalidae
abTemp,-0.25488299,-0.357729368,-0.152146915,Rose-breasted Grosbeak,Cardinalidae
abElev,0.355046287,0.243230814,0.466656348,Rose-breasted Grosbeak,Cardinalidae
abPrecip,-0.377418182,-0.483513871,-0.272028195,Rose-breasted Grosbeak,Cardinalidae
abNDVI,0.077867383,0.006130845,0.149636695,Rose-breasted Grosbeak,Cardinalidae
,-2.956738035,-3.244501573,-2.659417535,Brown Creeper,Certhiidae
c_s,0.670810682,0.538310391,0.804758718,Brown Creeper,Certhiidae
abTemp,0.339971908,0.219654159,0.460042553,Brown Creeper,Certhiidae
abElev,-0.03892727,-0.170071884,0.093893896,Brown Creeper,Certhiidae
abPrecip,0.467477578,0.343407457,0.592417878,Brown Creeper,Certhiidae
abNDVI,0.300619375,0.210130462,0.393698625,Brown Creeper,Certhiidae
,-1.049770118,-2.27190351,0.20193873,Band-tailed Pigeon,Columbidae
c_s,0.40097014,-0.798556372,1.610471972,Band-tailed Pigeon,Columbidae
abTemp,-0.094801109,-0.242863963,0.053916497,Band-tailed Pigeon,Columbidae
abElev,-0.7456061,-0.916838358,-0.575966329,Band-tailed Pigeon,Columbidae
abPrecip,0.786821176,0.486582832,1.088494892,Band-tailed Pigeon,Columbidae
abNDVI,0.120791993,-0.04930577,0.288239076,Band-tailed Pigeon,Columbidae
,-0.75690058,-1.1700484,-0.340152178,Common Ground-Dove,Columbidae
c_s,0.309007846,0.07971865,0.540108022,Common Ground-Dove,Columbidae
abTemp,-0.544900856,-0.765047166,-0.32988305,Common Ground-Dove,Columbidae
abElev,0.891610485,0.650527149,1.135746801,Common Ground-Dove,Columbidae
abPrecip,-0.083462002,-0.333794022,0.16735163,Common Ground-Dove,Columbidae
abNDVI,0.127784342,-0.086375071,0.335532855,Common Ground-Dove,Columbidae
,7.769557622,6.753883503,8.881384379,Mourning Dove,Columbidae
c_s,4.516331886,3.582887845,5.553315462,Mourning Dove,Columbidae
abTemp,-1.368166272,-1.512245059,-1.222866184,Mourning Dove,Columbidae
abElev,-0.587703442,-0.695368622,-0.48188613,Mourning Dove,Columbidae
abPrecip,-0.05709048,-0.19853595,0.078725644,Mourning Dove,Columbidae
abNDVI,0.219853956,0.112230799,0.329390595,Mourning Dove,Columbidae
,5.620701747,4.869242145,6.401647327,White-winged Dove,Columbidae
c_s,-3.671608857,-4.104485565,-3.255571644,White-winged Dove,Columbidae
