year,stateroute,aou,SpeciesName,speciestotal
2001,68015,6860,Canada Warbler,1
2002,68015,6860,Canada Warbler,0
2003,68015,6860,Canada Warbler,1
2004,68015,6860,Canada Warbler,1
2005,68015,6860,Canada Warbler,1
2006,68015,6860,Canada Warbler,1
2007,68015,6860,Canada Warbler,0
2008,68015,6860,Canada Warbler,0
2009,68015,6860,Canada Warbler,1
2010,68015,6860,Canada Warbler,2
2011,68015,6860,Canada Warbler,0
2012,68015,6860,Canada Warbler,1
2013,68015,6860,Canada Warbler,1
2014,68015,6860,Canada Warbler,1
2015,68015,6860,Canada Warbler,1
2001,68015,5840,Swamp Sparrow,28
2002,68015,5840,Swamp Sparrow,14
2003,68015,5840,Swamp Sparrow,13
2004,68015,5840,Swamp Sparrow,27
2005,68015,5840,Swamp Sparrow,20
2006,68015,5840,Swamp Sparrow,21
2007,68015,5840,Swamp Sparrow,21
2008,68015,5840,Swamp Sparrow,26
2009,68015,5840,Swamp Sparrow,14
2010,68015,5840,Swamp Sparrow,9
2011,68015,5840,Swamp Sparrow,20
2012,68015,5840,Swamp Sparrow,10
2013,68015,5840,Swamp Sparrow,12
2014,68015,5840,Swamp Sparrow,24
2015,68015,5840,Swamp Sparrow,23
2001,68015,7222,Winter Wren,0
2002,68015,7222,Winter Wren,1
2003,68015,7222,Winter Wren,0
2004,68015,7222,Winter Wren,0
2005,68015,7222,Winter Wren,0
2006,68015,7222,Winter Wren,0
2007,68015,7222,Winter Wren,1
2008,68015,7222,Winter Wren,0
2009,68015,7222,Winter Wren,0
2010,68015,7222,Winter Wren,1
2011,68015,7222,Winter Wren,0
2012,68015,7222,Winter Wren,2
2013,68015,7222,Winter Wren,0
2014,68015,7222,Winter Wren,0
2015,68015,7222,Winter Wren,0
