"FocalAOU","Competition_Est.x","Competition_P.x","Competition_R2.x","EnvZ_R2.x","BothZ_P.x","BothZ_R2.x","Competition_Est.y","Competition_P.y","Competition_R2.y","EnvZ_R2.y","BothZ_P.y","BothZ_R2.y","Focal_Common_Name","PRIMARY_COM_NAME"
3000,0.156125466532611,0.608651903509635,0.000490324218236956,0.0538077529407412,0.606017577862923,0.0542820942897059,-0.0186852764394343,0.958919001146708,4.96405888676433e-06,0.0567928745174104,0.759751572020877,0.0569591308323641,"Ruffed Grouse",NA
2940,-1.24404068103046,0.14340492969595,0.010414949577772,0.380774819089619,0.0132578868302902,0.399433172145451,-7.52182189626586,0.0157897762803143,0.0280874110588546,0.091068111167402,0.0374080321114621,0.110494537834633,NA,NA
2890,-1.80628823801944,0.0175725350384212,0.00479313637062961,0.192943830517067,0.913592420966171,0.192951955603605,-2.75500015172948,0.350805650711002,0.00074155758538107,0.0698986637976956,0.0269409481658978,0.0737831885403679,"Northern Bobwhite",NA
2881,-0.503594467796727,0.338225717670928,0.00454122714697675,0.203454697916353,0.799627860282785,0.20371450605393,-0.632621943379319,0.147813928264983,0.0103414701197543,0.0388703127577504,0.492055803103853,0.0411646745203377,"Gray Partridge","Ruffed Grouse"
3120,-5.53368263318413,2.44283432465817e-15,0.310576171288114,0.371250505668194,1.22641562454023e-10,0.511205579273725,-15.9936459204273,3.34334437138273e-10,0.208786312450148,0.23411276070822,2.14996422412986e-05,0.313708640979344,NA,NA
3190,-16.8202496983153,5.46617318802064e-50,0.624642996510148,0.338067219617382,2.57856597418594e-36,0.676141872897041,-194.132373263518,1.35668340784946e-31,0.4547068571154,0.0979344684216099,3.02626290072792e-28,0.478671539463422,"White-winged Dove","Mourning Dove"
3160,-0.946766181181605,8.98700846557544e-10,0.0145912251962429,0.248331422254533,2.60612825502572e-08,0.25741016857343,-25.7325148391393,6.99069524934617e-26,0.0424145006306852,0.0876353747418374,9.59839122295416e-21,0.118327947171679,"Mourning Dove","White-winged Dove"
3200,-19.9066776301098,1.42593991531238e-08,0.179503364120647,0.248690505051672,1.50351383603957e-06,0.350756201286708,-33.7401839511469,3.35458887772183e-10,0.215565836110731,0.120441282795073,3.57637174284817e-09,0.2940016671944,"Common Ground-Dove","Inca Dove"
3880,-1.13063222812649,1.70444205867695e-18,0.0811828075059216,0.255633228661735,9.52320026794944e-05,0.268047502426697,-1.25653704288922,1.00357249214979e-23,0.104935680389978,0.0318627477349904,1.67827990576264e-24,0.137261282195981,"Black-billed Cuckoo","Yellow-billed Cuckoo"
3870,-6.20095242004275,1.91759271474628e-131,0.31458962109336,0.467102752304862,4.64177160188707e-28,0.506472876415057,-6.92361388171709,3.58281355091102e-74,0.189987067610953,0.259523381402326,4.46185076776799e-15,0.287934986474513,"Yellow-billed Cuckoo","Black-billed Cuckoo"
4120,-4.32100017043455,2.42209492872379e-30,0.0707645945384624,0.169809644298129,3.95353817404842e-34,0.236146598145357,-4.15351277075471,2.32155168374256e-56,0.130764639617029,0.0702100597520543,3.90050469382324e-62,0.203974364542198,"Northern Flicker","Hairy Woodpecker"
4020,-12.4828826631538,1.50399105695821e-106,0.571299711249994,0.113505633340412,2.80304874209671e-97,0.592575942485695,-21.7608000971948,4.85385629081919e-154,0.708193659749846,0.105032434229771,4.72758698832516e-156,0.745329906987755,"Yellow-bellied Sapsucker","Hairy Woodpecker"
4090,-10.0293675607913,0,0.632137202390569,0.382203621353807,1.59400122617269e-214,0.674706116906896,-26.6232512663076,0,0.63445050898977,0.148474773543847,6.4338728324924e-289,0.641857782552467,"Red-bellied Woodpecker","Red-headed Woodpecker"
3930,-1.32732441744607,9.61073393300366e-08,0.0143058241678116,0.0409129931913677,0.230955948320019,0.0416111686162363,-1.22198056832545,6.40282832774911e-22,0.0458148744886255,0.0254926699412275,2.02246694741935e-16,0.0583478935387973,"Hairy Woodpecker","Northern Flicker"
3960,1.29600441803972,0.00863676904514345,0.0387498442164843,0.0437569184409743,0.0018315452718315,0.0966985182877113,1.19343441727089,0.00111253235535495,0.0590988083936628,0.100192446221242,0.000369296704771541,0.164688718723543,"Ladder-backed Woodpecker","Downy Woodpecker"
3940,1.73436910523803,4.18897404565295e-06,0.00954275046271149,0.326286546320454,0.000173832672715325,0.330580262691293,-1.04769949363744,2.84608300942882e-05,0.00790067978242883,0.192351581714295,8.85950105025914e-31,0.239651039172829,"Downy Woodpecker","Yellow-bellied Sapsucker"
4021,-1.10618509616479,0.048328576013789,0.0162807624416912,0.142375860673796,0.0344898262332896,0.158638442008377,-0.82215359667755,0.00832174070119952,0.0288916443022746,0.178492524060883,0.00576287263526015,0.204878727955721,"Red-naped Sapsucker","Williamson's Sapsucker"
4060,0.172426791122269,0.55754275716657,0.000296871449009083,0.0569963614525079,9.16120653339892e-05,0.0694127913425504,-0.570189424076731,0.0121821110597222,0.00540971526306154,0.0184668561799996,1.41383891915867e-09,0.0491362578154534,"Red-headed Woodpecker","Northern Flicker"
4320,-3.79131672819062,2.2221710276118e-05,0.0786835503235686,0.388673563011387,0.0709532748637653,0.397854136516529,-12.4375907325396,1.17855003934784e-06,0.101985377837837,0.244219787713774,0.000489696577334867,0.285666457406078,"Broad-tailed Hummingbird","Black-chinned Hummingbird"
