Species,FocalAOU,Long,Lat
Bonasa_umbellus,3000,-100.5815963,53.50905199
Callipepla_squamata,2930,-103.5529806,29.75994018
Callipepla_californica,2940,-118.4479085,40.42621993
Colinus_virginianus,2890,-91.88500462,34.36484306
Callipepla_gambelii,2950,-111.0137,33.20806463
Oreortyx_pictus,2920,-120.3989312,40.25012184
Perdix_perdix,2881,-104.8816687,46.7723045
Patagioenas_fasciata,3120,-108.0677114,32.00472473
Zenaida_asiatica,3190,-100.8175771,25.6853132
Zenaida_macroura,3160,-98.99357994,39.47157689
Columbina_inca,3210,-97.05101725,24.21610674
Columbina_passerina,3200,-79.89578889,20.38810958
Coccyzus_erythropthalmus,3880,-90.81282689,43.59423778
Coccyzus_americanus,3870,-83.72309228,29.32155511
Melanerpes_uropygialis,4110,-110.488879,28.90311821
Colaptes_auratus,4120,-87.16350079,38.64625539
Sphyrapicus_varius,4020,-94.24031776,53.30443713
Dryobates_nuttallii,3970,-120.469472,37.24596638
Melanerpes_carolinus,4090,-88.09959938,36.89208003
Melanerpes_aurifrons,4100,-96.73860063,23.29368631
Leuconotopicus_villosus,3930,-89.17505496,40.32879206
Dryobates_scalaris,3960,-86.84738485,14.79858974
Dryobates_pubescens,3940,-100.6521465,48.08186167
Sphyrapicus_ruber,4030,-124.7773341,49.75071887
Sphyrapicus_nuchalis,4021,-112.3709322,42.62499777
Melanerpes_erythrocephalus,4060,-88.79037348,37.15612842
Selasphorus_platycercus,4320,-106.760481,32.34901816
Archilochus_alexandri,4290,-110.0064848,36.56883494
Selasphorus_calliope,4360,-117.1902784,45.1611794
Calypte_anna,4310,-117.8287685,37.22889687
Selasphorus_rufus,4330,-121.9560068,50.67938179
Tyrannus_verticalis,4470,-108.3592126,40.65179927
Myiarchus_crinitus,4520,-88.69156637,40.47408231
Tyrannus_tyrannus,4440,-96.49350173,45.45243708
Tyrannus_forficatus,4430,-98.11447202,33.37344638
Sayornis_phoebe,4560,-87.20084996,35.05338052
Sayornis_saya,4570,-115.3711285,48.70139884
Contopus_cooperi,4590,-106.1363264,52.20212542
Myiarchus_cinerascens,4540,-108.9659241,33.85787307
Contopus_virens,4610,-87.15105605,40.06097272
Tyrannus_vociferans,4480,-105.6139995,28.39932841
Contopus_sordidulus,4620,-112.3213644,44.0537733
Empidonax_minimus,4670,-99.48598955,52.16586415
Pyrocephalus_rubinus,4710,-104.57037,26.96536853
Empidonax_difficilis,4641,-122.9585642,48.60365632
Empidonax_virescens,4650,-88.25699197,36.73572201
Empidonax_alnorum,4661,-97.31284777,55.64720883
Empidonax_hammondii,4680,-120.4022873,50.10352956
Empidonax_wrightii,4691,-112.9449919,39.55080667
Empidonax_traillii,4660,-102.4444408,42.61092594
Setophaga_ruticilla,6870,-77.54148303,48.3978366
Empidonax_oberholseri,4690,-115.0762483,43.94339553
Empidonax_occidentalis,4640,-108.8232392,36.98518987
Sayornis_nigricans,4580,-102.6171781,25.49503877
Gymnorhinus_cyanocephalus,4920,-111.5218916,38.98136772
Pica_pica,4750,-110.9461829,49.26823676
Perisoreus_canadensis,4840,-101.0574417,57.03968652
Aphelocoma_californica,4812,-109.8132447,34.56558907
Cyanocitta_cristata,4770,-96.43775794,53.04165129
Cyanocitta_stelleri,4780,-112.274993,40.00155086
Nucifraga_columbiana,4910,-113.5178228,42.85694088
Corvus_brachyrhynchos,4880,-96.98519799,46.06061471
Corvus_ossifragus,4900,-84.53801171,33.75969016
Agelaius_phoeniceus,4980,-101.1606586,53.86131669
Icterus_galbula,5070,-99.71622879,40.7080677
Molothrus_ater,4950,-100.1721058,41.744123
Icterus_bullockii,5080,-109.9489642,37.96233959
Icterus_spurius,5060,-92.83755827,36.6176325
Euphagus_cyanocephalus,5100,-110.2630263,46.53335213
Molothrus_aeneus,4960,-103.7211987,28.80876898
Dolichonyx_oryzivorus,4940,-92.69807937,46.45183822
Sturnella_neglecta,5011,-106.777263,42.22455657
Sturnella_magna,5010,-81.12351507,38.57730777
Quiscalus_quiscula,5110,-93.12699833,44.46903322
Xanthocephalus_xanthocephalus,4970,-107.6039972,46.00742704
Quiscalus_major,5130,-81.93848299,30.71060584
Icterus_cucullatus,5050,-106.9462573,30.03910431
Icterus_parisorum,5040,-106.1697789,29.12731739
Loxia_leucoptera,5220,-71.77765249,47.49765818
Carpodacus_mexicanus,5190,-99.85021099,36.69147829
Carduelis_tristis,5290,-96.41104244,44.85975904
Loxia_curvirostra,5210,-83.58192055,43.44592975
Carduelis_flammea,5280,-83.58192055,43.44592975
Carpodacus_purpureus,5170,-97.08660739,51.7743838
Carpodacus_cassinii,5180,-113.864327,42.89605126
Carduelis_pinus,5330,-104.5273878,50.00033271
Carduelis_psaltria,5300,-107.0070641,31.47929129
Passerculus_sandwichensis,5420,-103.5377116,54.21118919
Zonotrichia_albicollis,5580,-91.26839301,54.36905587
Pipilo_erythrophthalmus,5870,-99.01360879,40.8156397
Melospiza_melodia,5810,-102.078522,48.37799185
Spizella_arborea,5590,-110.7282151,63.97691193
Spizella_pusilla,5630,-89.72397299,39.32832843
Spizella_pallida,5610,-103.1540621,51.66009864
Calamospiza_melanocorys,6050,-103.345485,43.2058067
Spizella_passerina,5600,-96.5710521,31.51142141
Calcarius_ornatus,5380,-105.3319696,47.96156991
Melozone_fuscus,5910,-104.8101809,28.91154841
Peucaea_cassinii,5780,-103.3247241,31.83414909
Melozone_aberti,5920,-112.38871,33.83738489
Anthus_spragueii,7000,-105.6078186,50.66105574
Junco_hyemalis,5660,-104.2854798,54.27657717
Ammodramus_leconteii,5480,-99.84442288,53.04582761
Chondestes_grammacus,5520,-103.2900547,38.64434515
Ammodramus_savannarum,5460,-93.87830937,40.37773975
Ammodramus_bairdii,5450,-105.9653547,48.97769244
Ammodramus_nelsoni,5491,-101.7450717,53.33495842
Melospiza_lincolnii,5830,-101.3761536,55.57327691
Passerella_iliaca,5850,-115.0350793,58.19774317
Zonotrichia_leucophrys,5540,-110.6375379,59.26881309
Melospiza_georgiana,5840,-90.10416394,51.74931367
Aimophila_ruficeps,5800,-104.669873,29.10701034
Amphispiza_bilineata,5730,-108.2829355,32.23135203
Spizella_atrogularis,5650,-106.7479423,29.00127204
Pooecetes_gramineus,5400,-101.192708,46.37660914
Amphispiza_belli,5740,-114.0105649,39.38031814
Pipilo_chlorurus,5900,-112.3244769,39.77282899
Melozone_crissalis,5911,-117.4114793,33.74531849
Pipilo_maculatus,5880,-111.1116447,41.08915792
Pheucticus_ludovicianus,5950,-93.61998242,47.34020211
Passerina_caerulea,5970,-98.39442108,33.77068122
Cardinalis_sinuatus,5940,-104.1704916,28.24584934
Pheucticus_melanocephalus,5960,-109.1310033,38.46371499
Spiza_americana,6040,-94.42699395,39.75786149
Cardinalis_cardinalis,5930,-93.23584073,34.80336765
Passerina_ciris,6010,-97.22078346,32.27761552
Passerina_cyanea,5980,-92.60470444,39.21087168
Piranga_rubra,6100,-94.240753,33.76118106
Piranga_ludoviciana,6070,-114.8554686,47.7669958
Piranga_olivacea,6080,-85.07489311,41.70992541
Riparia_riparia,6160,-93.42022529,39.7608268
Stelgidopteryx_serripennis,6170,-100.0498416,41.14835092
Hirundo_rustica,6130,-96.14967314,55.229607
Tachycineta_bicolor,6140,-102.2405316,52.57733147
Petrochelidon_pyrrhonota,6120,-95.49298245,50.20935302
Tachycineta_thalassina,6150,-115.1519154,44.11768261
Bombycilla_cedrorum,6190,-97.51646638,48.65486863
Mimus_polyglottos,7030,-98.76015229,37.95755311
Vireo_flavifrons,6280,-86.53152059,38.76950109
Vireo_solitarius,6290,-89.80650978,51.39366762
Vireo_griseus,6310,-89.1632195,34.74751548
Vireo_philadelphicus,6260,-97.33368573,52.87177924
Vireo_gilvus,6270,-101.4429632,43.7429804
Vireo_olivaceus,6240,-94.68245625,45.4945474
Vireo_huttoni,6320,-107.6829406,29.9247626
Vireo_cassinii,6292,-119.5863361,44.9436366
Vireo_bellii,6330,-100.2379633,34.69690596
Vireo_plumbeus,6291,-108.0346247,33.84114348
Dendroica_pensylvanica,6590,-82.8254295,47.56134375
Dendroica_petechia,6520,-90.18842108,41.64905928
Protonotaria_citrea,6370,-88.34150783,36.30448666
Dendroica_discolor,6730,-84.45022544,35.61712422
Dendroica_virens,6670,-83.09036331,49.41248287
Dendroica_coronata,6550,-104.8295295,53.99949948
Geothlypis_trichas,6810,-82.67955431,36.50908497
Dendroica_pinus,6710,-83.61550402,38.05201207
Wilsonia_pusilla,6850,-106.6034473,58.61291086
Parula_americana,6480,-84.78002859,39.60775671
Dendroica_dominica,6630,-87.15521213,35.33599476
Seiurus_aurocapilla,6740,-66.12478357,48.79722903
Mniotilta_varia,6360,-80.29939736,48.06841713
Parkesia_motacilla,6760,-86.1896586,37.78669429
Parkesia_noveboracensis,6750,-74.47352519,45.62278128
Oporornis_formosus,6770,-86.67459012,36.26318092
Vermivora_cyanoptera,6410,-85.94866945,39.98619955
Helmitheros_vermivorum,6390,-85.99506794,36.42833232
Dendroica_nigrescens,6650,-114.6805499,39.84374424
Cardellina_rubrifrons,6900,-107.9877818,29.5498173
Vermivora_celata,6460,-112.6035395,55.35478545
Dendroica_townsendi,6680,-126.0711547,54.6190615
Dendroica_striata,6610,-103.6804213,60.75808689
Vermivora_peregrina,6470,-67.94088816,47.64284669
Dendroica_fusca,6620,-81.5495005,47.15935102
Dendroica_castanea,6600,-89.01509426,52.94324424
Dendroica_tigrina,6500,-94.7537774,53.55988946
Oporornis_philadelphia,6790,-87.24267614,50.47174987
Vermivora_virginiae,6440,-109.9065924,37.77883944
Vermivora_ruficapilla,6450,-88.40761316,48.77880553
Vermivora_luciae,6430,-111.9242061,33.61951316
Oporornis_tolmiei,6800,-117.1346291,46.97589439
Dendroica_occidentalis,6690,-121.7134027,41.93726825
Wilsonia_canadensis,6860,-85.58542587,50.11411084
Dendroica_magnolia,6570,-91.75153772,52.64156432
Dendroica_caerulescens,6540,-76.92698085,44.86052814
Wilsonia_citrina,6840,-85.50920954,36.00377252
Dendroica_palmarum,6720,-90.50358538,54.18198678
Limnothlypis_swainsonii,6380,-87.81893706,33.48181407
Oporornis_agilis,6780,-95.76282667,51.3131094
Passer_montanus,6883,-90.59082082,39.89318424
Passer_domesticus,6882,-77.44637353,36.30553771
Toxostoma_rufum,7050,-92.10086808,41.5463572
Toxostoma_curvirostre,7070,-103.518268,27.73162182
Dumetella_carolinensis,7040,-94.4585613,42.82362332
Toxostoma_crissale,7120,-107.0654432,29.72226175
Oreoscoptes_montanus,7020,-111.9406454,42.60987779
Toxostoma_redivivum,7100,-119.6295156,35.86959099
Toxostoma_bendirei,7080,-110.8881167,33.93006172
Troglodytes_aedon,7210,-99.58754407,39.95958024
Thryothorus_ludovicianus,7180,-88.51392018,34.34245151
Thryomanes_bewickii,7190,-105.5389866,33.29145929
Salpinctes_obsoletus,7150,-107.972073,36.49118615
Troglodytes_hiemalis,7222,-85.0659619,50.46738033
Troglodytes_pacificus,7221,-122.9843288,51.08346344
Cistothorus_platensis,7240,-92.44719179,42.36151241
Sitta_canadensis,7280,-102.4266541,50.64648293
Certhia_americana,7260,-96.00794415,41.77900693
Sitta_pusilla,7290,-86.05318702,32.60810722
Sitta_carolinensis,7270,-99.02557571,40.62683172
Parus_carolinensis,7360,-88.57610135,34.99631879
Parus_atricapillus,7350,-101.7426913,50.46541722
Baeolophus_bicolor,7310,-86.97455285,36.95415646
Chamaea_fasciata,7420,-120.5972842,37.99063188
Parus_rufescens,7410,-123.2999906,49.20839508
Parus_gambeli,7380,-114.3727328,43.98876652
Parus_hudsonicus,7400,-101.8666179,59.00623589
Baeolophus_ridgwayi,7331,-111.7288601,37.83556299
Baeolophus_inornatus,7330,-119.583808,36.17693079
Psaltriparus_minimus,7430,-108.6770411,33.41455367
Regulus_calendula,7490,-103.5096406,56.07286248
Regulus_satrapa,7480,-102.7526844,50.29885397
Polioptila_melanura,7520,-106.2394333,28.77239545
Polioptila_caerulea,7510,-96.4474155,33.89745982
Sialia_currucoides,7680,-114.8742119,48.93131325
Hylocichla_mustelina,7550,-84.27844529,39.95232194
Catharus_minimus,7570,-67.63893343,54.16371284
Catharus_fuscescens,7560,-94.43891372,48.17642901
Catharus_guttatus,7590,-98.60593408,44.55013716
Turdus_migratorius,7610,-101.5215888,49.95512665
Sialia_sialis,7660,-89.88601734,37.7392722
Catharus_ustulatus,7580,-103.2806637,55.47445147
Myadestes_townsendi,7540,-117.7890884,48.55018628
Sialia_mexicana,7670,-109.7164669,34.72098316
