"FocalAOU","AOU_OUT","FAMILY","PRIMARY_COM_NAME.x","PRIMARY_COM_NAME.y"
2890,2920,"Odontophoridae","Mountain Quail","Northern Bobwhite"
2890,2930,"Odontophoridae","Scaled Quail","Northern Bobwhite"
2890,10780,"Odontophoridae","Elegant Quail","Northern Bobwhite"
2890,2940,"Odontophoridae","California Quail","Northern Bobwhite"
2890,2950,"Odontophoridae","Gambel's Quail","Northern Bobwhite"
2890,2890,"Odontophoridae","Northern Bobwhite","Northern Bobwhite"
2890,2960,"Odontophoridae","Montezuma Quail","Northern Bobwhite"
2930,2920,"Odontophoridae","Mountain Quail","Scaled Quail"
2930,2930,"Odontophoridae","Scaled Quail","Scaled Quail"
2930,10780,"Odontophoridae","Elegant Quail","Scaled Quail"
2930,2940,"Odontophoridae","California Quail","Scaled Quail"
2930,2950,"Odontophoridae","Gambel's Quail","Scaled Quail"
2930,2890,"Odontophoridae","Northern Bobwhite","Scaled Quail"
2930,2960,"Odontophoridae","Montezuma Quail","Scaled Quail"
2940,2920,"Odontophoridae","Mountain Quail","California Quail"
2940,2930,"Odontophoridae","Scaled Quail","California Quail"
2940,10780,"Odontophoridae","Elegant Quail","California Quail"
2940,2940,"Odontophoridae","California Quail","California Quail"
2940,2950,"Odontophoridae","Gambel's Quail","California Quail"
2940,2890,"Odontophoridae","Northern Bobwhite","California Quail"
2940,2960,"Odontophoridae","Montezuma Quail","California Quail"
2950,2920,"Odontophoridae","Mountain Quail","Gambel's Quail"
2950,2930,"Odontophoridae","Scaled Quail","Gambel's Quail"
2950,10780,"Odontophoridae","Elegant Quail","Gambel's Quail"
2950,2940,"Odontophoridae","California Quail","Gambel's Quail"
2950,2950,"Odontophoridae","Gambel's Quail","Gambel's Quail"
2950,2890,"Odontophoridae","Northern Bobwhite","Gambel's Quail"
2950,2960,"Odontophoridae","Montezuma Quail","Gambel's Quail"
3131,3131,"Columbidae","Rock Pigeon","Rock Pigeon"
3131,3141,"Columbidae","Scaly-naped Pigeon","Rock Pigeon"
3131,3140,"Columbidae","White-crowned Pigeon","Rock Pigeon"
3131,3130,"Columbidae","Red-billed Pigeon","Rock Pigeon"
3131,10990,"Columbidae","Plain Pigeon","Rock Pigeon"
3131,3120,"Columbidae","Band-tailed Pigeon","Rock Pigeon"
3131,3152,"Columbidae","African Collared-Dove","Rock Pigeon"
3131,22860,"Columbidae","Eurasian Collared-Dove","Rock Pigeon"
3131,3151,"Columbidae","Spotted Dove","Rock Pigeon"
3131,31450,"Columbidae","Island Collared-Dove","Rock Pigeon"
3131,3153,"Columbidae","Zebra Dove","Rock Pigeon"
3131,3190,"Columbidae","White-winged Dove","Rock Pigeon"
3131,3170,"Columbidae","Zenaida Dove","Rock Pigeon"
3131,3160,"Columbidae","Mourning Dove","Rock Pigeon"
3131,3160,"Columbidae","Mourning Dove (Caribbean)","Rock Pigeon"
3131,3210,"Columbidae","Inca Dove","Rock Pigeon"
3131,3200,"Columbidae","Common Ground-Dove","Rock Pigeon"
3131,3201,"Columbidae","Ruddy Ground-Dove","Rock Pigeon"
3131,3180,"Columbidae","White-tipped Dove","Rock Pigeon"
3131,3220,"Columbidae","Key West Quail-Dove","Rock Pigeon"
3131,11120,"Columbidae","Bridled Quail-Dove","Rock Pigeon"
3131,3221,"Columbidae","Ruddy Quail-Dove","Rock Pigeon"
3131,31500,"Columbidae","Nicobar Pigeon","Rock Pigeon"
3131,91490,"Columbidae","Micronesian Pigeon","Rock Pigeon"
3131,91480,"Columbidae","Pacific Pigeon","Rock Pigeon"
