"Family","AOU"
"Phasianidae",2881
"Phasianidae",2980
"Odontophoridae",2890
"Odontophoridae",2950
"Odontophoridae",2960
"Odontophoridae",2920
"Odontophoridae",2930
"Odontophoridae",2940
"Phasianidae",3000
"Columbidae",3160
"Columbidae",3190
"Columbidae",3200
"Columbidae",3210
"Cuculidae",3870
"Cuculidae",3880
"Picidae",3930
"Picidae",4021
"Picidae",4070
"Picidae",4140
"Picidae",4000
"Picidae",4060
"Picidae",4080
"Picidae",4090
"Picidae",4100
"Picidae",3940
"Picidae",4010
"Picidae",3960
"Picidae",3990
"Picidae",4030
"Picidae",4040
"Picidae",3950
"Picidae",4020
"Picidae",4120
"Picidae",3970
"Picidae",4110
"Trochilidae",4290
"Trochilidae",4320
"Trochilidae",4330
"Trochilidae",4340
"Trochilidae",4360
"Tyrannidae",4411
"Tyrannidae",4430
"Tyrannidae",4440
"Tyrannidae",4451
"Tyrannidae",4460
"Tyrannidae",4461
"Tyrannidae",4480
"Tyrannidae",4490
"Tyrannidae",4510
"Tyrannidae",4520
"Tyrannidae",4530
"Tyrannidae",4540
"Tyrannidae",4550
"Tyrannidae",4560
"Tyrannidae",4570
"Tyrannidae",4590
"Tyrannidae",4600
"Tyrannidae",4450
"Tyrannidae",4470
"Tyrannidae",4580
"Tyrannidae",4610
"Tyrannidae",4620
"Tyrannidae",4630
"Tyrannidae",4640
"Tyrannidae",4650
"Tyrannidae",4660
"Tyrannidae",4661
"Tyrannidae",4670
"Tyrannidae",4680
"Tyrannidae",4710
"Tyrannidae",4641
"Tyrannidae",4690
"Tyrannidae",4691
"Tyrannidae",4700
"Tyrannidae",4720
"Parulidae",6540
"Parulidae",6570
"Parulidae",6860
"Corvidae",4750
"Corvidae",4760
"Corvidae",4780
"Corvidae",4812
"Corvidae",4910
"Corvidae",4920
"Corvidae",4840
"Corvidae",4790
"Corvidae",4870
"Corvidae",4900
"Corvidae",4880
"Icteridae",4940
"Icteridae",4950
"Icteridae",4960
"Icteridae",4961
"Icteridae",4970
"Icteridae",5000
"Icteridae",5010
"Icteridae",5031
"Icteridae",5032
"Icteridae",5040
"Icteridae",5070
"Icteridae",5080
"Icteridae",5090
"Icteridae",5100
"Icteridae",4980
"Icteridae",5050
"Icteridae",5060
"Icteridae",5011
"Icteridae",5110
"Icteridae",5120
"Icteridae",5130
"Fringillidae",5170
"Fringillidae",5210
"Fringillidae",5180
"Fringillidae",5220
"Fringillidae",5240
"Fringillidae",5250
"Fringillidae",5270
"Fringillidae",5290
"Fringillidae",5310
"Fringillidae",5330
"Fringillidae",5190
"Fringillidae",5300
"Emberizidae",5340
"Emberizidae",5360
"Emberizidae",5370
"Emberizidae",5380
"Emberizidae",5390
"Emberizidae",5400
"Emberizidae",5450
"Emberizidae",5460
"Emberizidae",5470
"Emberizidae",5480
"Emberizidae",5490
"Emberizidae",5491
"Emberizidae",5500
"Emberizidae",5520
"Emberizidae",5540
"Emberizidae",5570
"Emberizidae",5580
"Emberizidae",5590
"Emberizidae",5600
"Emberizidae",5610
"Emberizidae",5620
"Emberizidae",5630
"Emberizidae",5650
"Emberizidae",5660
"Emberizidae",5730
"Emberizidae",5740
"Emberizidae",5760
"Emberizidae",5780
"Emberizidae",5790
"Emberizidae",5800
"Emberizidae",5810
"Emberizidae",5830
"Emberizidae",5840
"Emberizidae",5850
"Emberizidae",5860
"Emberizidae",5870
"Emberizidae",5880
"Emberizidae",5900
"Emberizidae",6050
"Emberizidae",5420
"Emberizidae",5910
"Emberizidae",5700
"Emberizidae",5750
"Emberizidae",5920
"Motacillidae",7000
"Cardinalidae",5930
"Cardinalidae",5960
"Cardinalidae",5970
"Cardinalidae",6040
"Cardinalidae",5940
"Cardinalidae",5950
"Cardinalidae",5980
"Cardinalidae",5990
"Cardinalidae",6010
"Cardinalidae",6000
"Thraupidae",6070
"Thraupidae",6090
"Thraupidae",6100
"Hirundinidae",6120
"Hirundinidae",6140
"Hirundinidae",6121
"Hirundinidae",6130
"Hirundinidae",6150
"Hirundinidae",6160
"Hirundinidae",6170
"Bombycillidae",6180
"Laniidae",6220
"Mimidae",7020
"Mimidae",7040
"Mimidae",7050
"Mimidae",7080
"Mimidae",7100
"Vireonidae",6230
"Vireonidae",6240
"Vireonidae",6260
"Vireonidae",6270
"Vireonidae",6290
"Vireonidae",6300
"Vireonidae",6310
"Vireonidae",6330
"Vireonidae",6280
"Vireonidae",6291
"Vireonidae",6292
"Vireonidae",6320
"Vireonidae",6340
"Parulidae",6360
"Parulidae",6370
"Parulidae",6380
"Parulidae",6390
"Parulidae",6410
"Parulidae",6420
"Parulidae",6450
"Parulidae",6460
"Parulidae",6470
"Parulidae",6480
"Parulidae",6500
"Parulidae",6520
"Parulidae",6550
"Parulidae",6580
"Parulidae",6600
"Parulidae",6610
"Parulidae",6620
"Parulidae",6630
"Parulidae",6670
"Parulidae",6700
"Parulidae",6710
"Parulidae",6720
"Parulidae",6730
"Parulidae",6740
"Parulidae",6750
"Parulidae",6770
"Parulidae",6780
"Parulidae",6790
"Parulidae",6810
"Parulidae",6840
"Parulidae",6850
"Parulidae",6870
"Parulidae",6430
"Parulidae",6440
"Parulidae",6590
"Parulidae",6640
"Parulidae",6650
"Parulidae",6680
"Parulidae",6690
"Parulidae",6760
"Parulidae",6800
"Parulidae",6880
"Parulidae",6900
"Parulidae",6490
"Parulidae",6881
"Parulidae",6890
"Parulidae",6471
"Parulidae",6660
"Parulidae",6830
"Passeridae",6882
"Passeridae",6883
"Mimidae",7030
"Mimidae",7060
"Mimidae",7120
"Mimidae",7070
"Mimidae",7110
"Troglodytidae",7150
"Troglodytidae",7170
"Troglodytidae",7180
"Troglodytidae",7190
"Troglodytidae",7221
"Troglodytidae",7222
"Troglodytidae",7240
"Troglodytidae",7250
"Troglodytidae",7210
"Certhiidae",7260
"Sittidae",7280
"Sittidae",7300
"Paridae",7310
"Paridae",7320
"Paridae",7350
"Paridae",7360
"Paridae",7380
"Paridae",7400
"Paridae",7410
"Paridae",7330
"Aegithalidae",7430
"Paridae",7331
"Regulidae",7480
"Regulidae",7490
"Sylviidae",7510
"Sylviidae",7520
"Sylviidae",7530
"Turdidae",7540
"Turdidae",7560
"Turdidae",7571
"Turdidae",7580
"Turdidae",7590
"Turdidae",7610
"Turdidae",7660
"Turdidae",7680
"Turdidae",7550
"Turdidae",7630
"Trochilidae",4310
"Corvidae",4770
"Fringillidae",5280
"Emberizidae",5911
"Thraupidae",6080
"Bombycillidae",6190
"Sittidae",7290
"Sittidae",7270
"Timaliidae",7420
"Turdidae",7570
"Turdidae",7670
