"FocalAOU","main_g_non","Comp_count","nullp","Null"
2881,0,149,0,"Null"
2890,0,174,0,"Null"
2940,0,143,0,"Null"
3000,0,200,0,"Null"
3120,0,156,0,"Null"
3160,0,276,0,"Null"
3190,1,179,0.00555555555555556,"Null"
3200,1,144,0.00689655172413793,"Null"
3870,0,203,0,"Null"
3880,0,171,0,"Null"
3930,5,254,0.0196078431372549,"Null"
3940,6,254,0.0235294117647059,"Null"
3960,3,162,0.0184049079754601,"Null"
4020,1,154,0.00645161290322581,"Null"
4021,0,147,0,"Null"
4060,0,194,0,"Null"
4090,1,161,0.00617283950617284,"Null"
4120,0,191,0,"Null"
4290,0,207,0,"Null"
4320,0,146,0,"Null"
4330,1,139,0.00714285714285714,"Null"
4430,1,133,0.00746268656716418,"Null"
4440,1,231,0.00431034482758621,"Null"
4470,1,257,0.00387596899224806,"Null"
4480,0,153,0,"Null"
4520,1,188,0.00529100529100529,"Null"
4540,0,200,0,"Null"
4560,0,192,0,"Null"
4570,1,218,0.0045662100456621,"Null"
4590,0,222,0,"Null"
4610,1,179,0.00555555555555556,"Null"
4620,3,230,0.012987012987013,"Null"
4640,1,157,0.00632911392405063,"Null"
4641,4,142,0.027972027972028,"Null"
4650,0,141,0,"Null"
4660,0,233,0,"Null"
4670,5,195,0.0255102040816327,"Null"
4680,0,157,0,"Null"
4690,0,169,0,"Null"
4691,1,146,0.00680272108843537,"Null"
4750,0,212,0,"Null"
4770,0,215,0,"Null"
4780,2,179,0.0111111111111111,"Null"
4812,1,116,0.00854700854700855,"Null"
4840,0,182,0,"Null"
4880,4,255,0.015625,"Null"
4900,1,127,0.0078125,"Null"
4910,0,150,0,"Null"
4940,2,189,0.0105263157894737,"Null"
4950,7,274,0.0254545454545455,"Null"
4970,0,211,0,"Null"
4980,0,272,0,"Null"
5010,1,227,0.0043859649122807,"Null"
5011,1,250,0.00398406374501992,"Null"
5060,1,185,0.00537634408602151,"Null"
5070,1,178,0.00558659217877095,"Null"
5080,6,218,0.0273972602739726,"Null"
5100,1,226,0.00440528634361234,"Null"
5110,1,230,0.00432900432900433,"Null"
5120,2,195,0.0102040816326531,"Null"
5170,1,206,0.00483091787439614,"Null"
5180,0,143,0,"Null"
5190,1,273,0.00364963503649635,"Null"
5210,0,229,0,"Null"
5220,1,150,0.00662251655629139,"Null"
5290,2,233,0.00854700854700855,"Null"
5300,1,203,0.00490196078431373,"Null"
5330,1,233,0.00427350427350427,"Null"
5400,0,230,0,"Null"
5460,1,253,0.00393700787401575,"Null"
5480,1,136,0.0072992700729927,"Null"
5520,0,255,0,"Null"
5540,0,172,0,"Null"
5580,5,154,0.032258064516129,"Null"
5600,3,263,0.0113636363636364,"Null"
5610,3,176,0.0169491525423729,"Null"
5620,0,160,0,"Null"
5630,0,184,0,"Null"
5730,0,185,0,"Null"
5780,1,157,0.00632911392405063,"Null"
5810,4,253,0.015748031496063,"Null"
5840,1,155,0.00641025641025641,"Null"
5850,0,174,0,"Null"
5870,4,156,0.0254777070063694,"Null"
5880,0,207,0,"Null"
5900,0,156,0,"Null"
5930,0,215,0,"Null"
5950,1,162,0.00613496932515337,"Null"
5960,1,210,0.004739336492891,"Null"
5970,1,230,0.00432900432900433,"Null"
5980,1,235,0.00423728813559322,"Null"
5990,0,197,0,"Null"
