X,mean,mcse,sd,X2.5.,X25.,X50.,X75.,X97.5.,n_eff,Rhat
2881,-2.425368552,0.006390307,0.097315356,-2.618402328,-2.491076825,-2.424479112,-2.359085048,-2.235510409,232,1.017227685
2890,-0.403921001,0.006474547,0.064049925,-0.534773953,-0.446796894,-0.401400639,-0.359397629,-0.283820424,98,1.04056478
2940,-0.270140755,0.00654174,0.087646678,-0.441081457,-0.329073941,-0.269810737,-0.211202472,-0.099336096,180,1.022059609
3000,-2.691111958,0.00649261,0.075927778,-2.842971705,-2.741351383,-2.689590806,-2.639854166,-2.544635578,137,1.028812666
3120,-1.034159334,0.006490686,0.089587564,-1.210462439,-1.094051344,-1.033896445,-0.972917472,-0.861066252,191,1.021656547
3160,1.944929175,0.006420638,0.070065149,1.804088497,1.898063437,1.946597914,1.992697475,2.079863144,119,1.032464351
3190,0.297642006,0.006815389,0.084758307,0.129601114,0.240461447,0.298330513,0.355458148,0.462113304,155,1.025599834
3200,-0.842781505,0.006410238,0.092973905,-1.024533764,-0.906363223,-0.842360148,-0.77879502,-0.662324867,210,1.020806828
3870,-0.441353665,0.00655392,0.061968975,-0.567595175,-0.48316555,-0.439160687,-0.398514169,-0.324367509,89,1.045057097
3880,-1.601447004,0.006522407,0.066610111,-1.736073562,-1.64609853,-1.598986383,-1.55525958,-1.476583991,104,1.039119388
3930,-0.832795764,0.006516131,0.06082773,-0.958150613,-0.873435124,-0.829972715,-0.790523954,-0.719654835,87,1.046634516
3940,-0.365644014,0.006484596,0.06062577,-0.488717529,-0.406397698,-0.363069659,-0.323233335,-0.25301399,87,1.04593357
3960,-0.686224114,0.006723993,0.091123173,-0.867025827,-0.747390832,-0.68482013,-0.624503329,-0.512181317,184,1.022766939
4020,0.221752862,0.006544192,0.07030413,0.08019009,0.174404115,0.222685354,0.269702665,0.35685362,115,1.033893045
4021,-0.6106714,0.006476513,0.08214885,-0.772566377,-0.666178146,-0.610554704,-0.554928621,-0.453478077,161,1.02364503
4060,-0.638833868,0.006523664,0.063027603,-0.767947021,-0.681436904,-0.636650288,-0.594893772,-0.519917927,93,1.042954052
4090,0.858784264,0.006546108,0.065583574,0.727260858,0.814429834,0.861006565,0.904247132,0.982435629,100,1.040837177
4120,0.211917335,0.006495491,0.061574591,0.086825794,0.170472458,0.214071077,0.25531361,0.326931305,90,1.045904572
4290,-1.414796398,0.006495959,0.082805899,-1.582008579,-1.469659453,-1.413277437,-1.358566439,-1.255366347,162,1.024195435
4320,-0.694349027,0.006507873,0.084255396,-0.862256002,-0.75016905,-0.693846267,-0.637852709,-0.529193629,168,1.024677633
4330,-0.74515942,0.006626546,0.088992124,-0.922614561,-0.804229039,-0.74501426,-0.683864334,-0.573514913,180,1.02199749
4430,0.653004682,0.006726327,0.083339285,0.489066853,0.596482975,0.653550445,0.709880556,0.814564988,154,1.026166912
4440,0.534174308,0.006521605,0.061349264,0.41037265,0.493261945,0.536347685,0.576752046,0.648582028,88,1.045675683
4470,-0.13362119,0.00642421,0.065539925,-0.266860984,-0.177072472,-0.131197794,-0.088310285,-0.009085446,104,1.038433892
4480,0.309864566,0.006915038,0.095242226,0.119485065,0.246405502,0.310901777,0.373982473,0.494977373,190,1.020214151
4520,1.058677909,0.006514518,0.063326197,0.930143268,1.015892327,1.06084948,1.102281829,1.177927116,94,1.042872513
4540,0.813393805,0.006298148,0.086110561,0.64237262,0.755262865,0.813336187,0.871786446,0.980593548,187,1.022116841
4560,1.046888652,0.006435514,0.063598126,0.919189947,1.004229051,1.048813068,1.091115206,1.168073872,98,1.040534232
4570,-0.065989832,0.00658062,0.069889815,-0.20701852,-0.113079309,-0.064166775,-0.017510956,0.066691451,113,1.034259064
4590,-1.203178017,0.006486626,0.068946753,-1.343412982,-1.24900356,-1.201344468,-1.155771061,-1.072781447,113,1.035236797
4610,1.053588345,0.006500484,0.063208608,0.926672292,1.010736277,1.055923363,1.097205268,1.171747721,95,1.042826381
4620,-0.230949213,0.006536006,0.067376604,-0.367568067,-0.275686633,-0.229217768,-0.184133815,-0.102971756,106,1.038205506
