"Focal","focalAOU","Competitor","compAOU","FocalArea","CompArea","area_overlap","mainCompetitor","PropOverlap"
"Bonasa umbellus",3000,"Perdix perdix",2881,8125106.16244733,12802476.9529709,1551004.00063372,0,0.190890305877129
"Bonasa umbellus",3000,"Falcipennis canadensis",2980,8125106.16244733,6182333.7316387,4294097.59347054,1,0.528497413771284
"Callipepla squamata",2930,"Colinus virginianus",2890,1414260.01979953,4364436.52932994,587906.64841269,1,0.415699121930934
"Callipepla squamata",2930,"Callipepla gambelii",2950,1414260.01979953,545133.562951411,148634.082015536,0,0.105096714843572
"Callipepla squamata",2930,"Cyrtonyx montezumae",2960,1414260.01979953,754046.80969595,355153.92119562,0,0.251123496544831
"Callipepla californica",2940,"Oreortyx pictus",2920,1542584.17453311,346048.996701771,290708.479818363,1,0.188455505130766
"Colinus virginianus",2890,"Callipepla squamata",2930,4364436.52932994,1414260.01979953,587906.648412689,1,0.134703906096888
"Callipepla gambelii",2950,"Callipepla squamata",2930,545133.562951411,1414260.01979953,148634.082015536,1,0.27265626649516
"Callipepla gambelii",2950,"Cyrtonyx montezumae",2960,545133.562951411,754046.80969595,54764.6819736159,0,0.100461035048207
"Oreortyx pictus",2920,"Callipepla californica",2940,346048.996701771,1542584.17453311,290708.479818363,1,0.840078955839016
"Perdix perdix",2881,"Falcipennis canadensis",2980,12802476.9529709,6182333.7316387,297608.780886336,0,0.0232461875916343
"Perdix perdix",2881,"Bonasa umbellus",3000,12802476.9529709,8125106.16244733,1551004.00063372,1,0.12114874381975
"Zenaida asiatica",3190,"Zenaida macroura",3160,3014315.25883976,11154669.7638702,2273997.61688874,1,0.754399398078894
"Zenaida macroura",3160,"Zenaida asiatica",3190,11154669.7638702,3014315.25883976,2273997.61688874,1,0.203860595161157
"Columbina inca",3210,"Columbina passerina",3200,2764119.88080669,7563890.38462736,1706671.66194054,1,0.61743764219172
"Columbina passerina",3200,"Columbina inca",3210,7563890.38462736,2764119.88080669,1706671.66194053,1,0.225634108263801
"Coccyzus erythropthalmus",3880,"Coccyzus americanus",3870,5189825.63711032,5273151.51804721,2977148.79993854,1,0.573651025701166
"Coccyzus americanus",3870,"Coccyzus erythropthalmus",3880,5273151.51804721,5189825.63711032,2977148.79993854,1,0.564586242164545
"Melanerpes aurifrons",4100,"Leuconotopicus villosus",3930,1458838.28700041,14067703.7035767,283206.788001238,0,0.194131721469659
"Melanerpes aurifrons",4100,"Melanerpes erythrocephalus",4060,1458838.28700041,5465758.50217251,118150.702428728,0,0.0809895815605879
"Melanerpes aurifrons",4100,"Melanerpes formicivorus",4070,1458838.28700041,1503556.97443414,553810.128497524,1,0.379624070352747
"Melanerpes aurifrons",4100,"Melanerpes carolinus",4090,1458838.28700041,3074161.21629419,71636.764907055,0,0.049105350158002
"Melanerpes aurifrons",4100,"Colaptes auratus",4120,1458838.28700041,10805319.4189032,79045.9279802747,0,0.0541841605643659
