Focal Species,Focal AOU,Focal Family,Focal Alpha Code,Competitor Species,Competitor AOU,Migratory Class,Trophic Group,Centroid Longitude,Centroid Latitude,Location of Centroid 
Band-tailed Pigeon,3120,Columbidae,BTPI,Rock Pigeon,3131,neotrop,granivore,NA,NA,West
Black-billed Cuckoo,3880,Cuculidae,BBCU,Yellow-billed Cuckoo,3870,neotrop,insectivore,-90.76801224,43.59299361,East
Red-naped Sapsucker,4021,Picidae,RNSA,Williamson's Sapsucker,4040,short,insectivore,-112.3709322,42.62499777,West
Red-headed Woodpecker,4060,Picidae,RHWO,Northern Flicker,4120,short,omnivore,-92.79552612,40.10274622,East
Red-headed Woodpecker,4060,Picidae,RHWO,Red-bellied Woodpecker,4090,short,omnivore,-92.79552612,40.10274622,East
Black-chinned Hummingbird,4290,Trochilidae,BCHU,Broad-tailed Hummingbird,4320,neotrop,nectarivore,-110.0129228,36.56661255,West
Broad-tailed Hummingbird,4320,Trochilidae,BTLH,Black-chinned Hummingbird,4290,neotrop,nectarivore,-106.5273414,31.90592036,West
Rufous Hummingbird,4330,Trochilidae,RUHU,Calliope Hummingbird,4360,neotrop,nectarivore,-121.9953642,50.69042584,West
Calliope Hummingbird,4360,Trochilidae,CAHU,Rufous Hummingbird,4330,neotrop,nectarivore,-117.1902784,45.1611794,West
Cassin's Kingbird,4480,Tyrannidae,CAKI,Ash-throated Flycatcher,4540,neotrop,insectivore,-105.6192981,28.40141166,West
Ash-throated Flycatcher,4540,Tyrannidae,ATFL,Cassin's Kingbird,4480,neotrop,insectivore,-108.9794232,33.85535253,West
Ash-throated Flycatcher,4540,Tyrannidae,ATFL,Say's Phoebe,4570,neotrop,insectivore,-108.9794232,33.85535253,West
Say's Phoebe,4570,Tyrannidae,SAPH,Western Kingbird,4470,short,insectivore,-115.3829445,48.71148593,West
Say's Phoebe,4570,Tyrannidae,SAPH,Ash-throated Flycatcher,4540,short,insectivore,-115.3829445,48.71148593,West
Olive-sided Flycatcher,4590,Tyrannidae,OSFL,Western Kingbird,4470,neotrop,insectivore,-106.1370818,52.213568,West
Cordilleran Flycatcher,4640,Tyrannidae,COFL,Gray Flycatcher,4691,neotrop,insectivore,-108.8230359,36.98471524,West
Cordilleran Flycatcher,4640,Tyrannidae,COFL,Hammond's Flycatcher,4680,neotrop,insectivore,-108.8230359,36.98471524,West
Acadian Flycatcher,4650,Tyrannidae,ACFL,Willow Flycatcher,4660,neotrop,insectivore,-88.234211,36.72678301,East
Acadian Flycatcher,4650,Tyrannidae,ACFL,Eastern Wood-Pewee,4610,neotrop,insectivore,-88.234211,36.72678301,East
Acadian Flycatcher,4650,Tyrannidae,ACFL,Least Flycatcher,4670,neotrop,insectivore,-88.234211,36.72678301,East
Acadian Flycatcher,4650,Tyrannidae,ACFL,Alder Flycatcher,4661,neotrop,insectivore,-88.234211,36.72678301,East
Acadian Flycatcher,4650,Tyrannidae,ACFL,Yellow-bellied Flycatcher,4630,neotrop,insectivore,-88.234211,36.72678301,East
Willow Flycatcher,4660,Tyrannidae,WIFL,Alder Flycatcher,4661,neotrop,insectivore,-102.4497992,42.62652326,West
Alder Flycatcher,4661,Tyrannidae,ALFL,Western Wood-Pewee,4620,neotrop,insectivore,-97.26674971,55.64870537,East
Alder Flycatcher,4661,Tyrannidae,ALFL,Willow Flycatcher,4660,neotrop,insectivore,-97.26674971,55.64870537,East
Alder Flycatcher,4661,Tyrannidae,ALFL,Least Flycatcher,4670,neotrop,insectivore,-97.26674971,55.64870537,East
Alder Flycatcher,4661,Tyrannidae,ALFL,Yellow-bellied Flycatcher,4630,neotrop,insectivore,-97.26674971,55.64870537,East
Alder Flycatcher,4661,Tyrannidae,ALFL,Acadian Flycatcher,4650,neotrop,insectivore,-97.26674971,55.64870537,East
Hammond's Flycatcher,4680,Tyrannidae,HAFL,Cordilleran Flycatcher,4640,neotrop,insectivore,-120.4175546,50.10579982,West
Hammond's Flycatcher,4680,Tyrannidae,HAFL,Dusky Flycatcher,4690,neotrop,insectivore,-120.4175546,50.10579982,West
Dusky Flycatcher,4690,Tyrannidae,DUFL,Gray Flycatcher,4691,neotrop,insectivore,-115.084343,43.93654116,West
Dusky Flycatcher,4690,Tyrannidae,DUFL,Hammond's Flycatcher,4680,neotrop,insectivore,-115.084343,43.93654116,West
Gray Flycatcher,4691,Tyrannidae,GRFL,Cordilleran Flycatcher,4640,neotrop,insectivore,-112.9449919,39.55080667,West
Gray Flycatcher,4691,Tyrannidae,GRFL,Dusky Flycatcher,4690,neotrop,insectivore,-112.9449919,39.55080667,West
Steller's Jay,4780,Corvidae,STJA,Western Scrub-Jay,4812,resid,omnivore,-112.3194646,40.04072158,West
Steller's Jay,4780,Corvidae,STJA,Clark's Nutcracker,4910,resid,omnivore,-112.3194646,40.04072158,West
Steller's Jay,4780,Corvidae,STJA,Gray Jay,4840,resid,omnivore,-112.3194646,40.04072158,West
Western Scrub-Jay,4812,Corvidae,WESJ,Gray Jay,4840,resid,omnivore,-109.8315029,34.56352635,West
Western Scrub-Jay,4812,Corvidae,WESJ,Clark's Nutcracker,4910,resid,omnivore,-109.8315029,34.56352635,West
Western Scrub-Jay,4812,Corvidae,WESJ,Steller's Jay,4780,resid,omnivore,-109.8315029,34.56352635,West
Gray Jay,4840,Corvidae,GRAJ,Clark's Nutcracker,4910,resid,omnivore,-100.9834142,57.03293422,West
Gray Jay,4840,Corvidae,GRAJ,Steller's Jay,4780,resid,omnivore,-100.9834142,57.03293422,West
Clark's Nutcracker,4910,Corvidae,CLNU,Gray Jay,4840,resid,omnivore,-113.5190863,42.8572419,West
Pinyon Jay,4920,Corvidae,PIJA,Black-billed Magpie,4750,resid,omnivore,-111.5218916,38.98136772,West
Yellow-headed Blackbird,4970,Icteridae,YHBL,Red-winged Blackbird,4980,neotrop,insectivore,-107.6043384,46.00715385,West
Scott's Oriole,5040,Icteridae,SCOR,Bullock's Oriole,5080,neotrop,insct/om,-106.17946,29.12532905,West
Scott's Oriole,5040,Icteridae,SCOR,Hooded Oriole,5050,neotrop,insct/om,-106.17946,29.12532905,West
Cassin's Finch,5180,Fringillidae,CAFI,House Finch,5190,short,granivore,-113.8647052,42.8963457,West
Red Crossbill,5210,Fringillidae,RECR,Purple Finch,5170,short,granivore,89.36838668,84.78258485,East
