"","latitude","longitude","stateroute","optional"
"1",36.4118157,-113.3253169,6001,TRUE
"2",36.7313947,-112.0460509,6002,TRUE
"3",36.1623537,-111.3865819,6003,TRUE
"4",36.5612867,-110.5019459,6004,TRUE
"5",36.5089267,-109.4726859,6005,TRUE
"6",35.5156177,-113.2016679,6007,TRUE
"7",35.7549067,-112.8721919,6008,TRUE
"8",35.3950617,-111.5777809,6009,TRUE
"9",35.8687197,-110.6230399,6010,TRUE
"10",35.678979,-109.2046208,6011,TRUE
"11",34.6437087,-112.4327389,6014,TRUE
"12",34.8492047,-111.4342499,6015,TRUE
"13",34.6673667,-110.3230139,6016,TRUE
"14",34.4781336,-109.6046705,6017,TRUE
"15",33.8114477,-110.9051519,6022,TRUE
"16",33.6100527,-109.1067429,6023,TRUE
"17",36.2863797,-113.0649869,6051,TRUE
"18",36.3131479,-112.0319722,6052,TRUE
"19",36.9132282,-111.4526999,6053,TRUE
"20",36.3915637,-110.8794319,6054,TRUE
"21",36.3599237,-109.6437909,6055,TRUE
"22",35.0556327,-112.2188339,6058,TRUE
"23",35.1634107,-111.9475859,6059,TRUE
"24",35.2779817,-110.3798989,6060,TRUE
"25",35.5302347,-109.8516089,6061,TRUE
"26",34.7733727,-112.6192267,6064,TRUE
"27",34.3566847,-111.1008299,6065,TRUE
"28",34.7,-110.7666667,6066,TRUE
"29",34.1153987,-109.9154509,6067,TRUE
"30",33.8668667,-109.1657669,6073,TRUE
"31",36.6901017,-113.4587859,6101,TRUE
"32",36.6095467,-111.0768659,6103,TRUE
"33",36.3019687,-109.1965869,6105,TRUE
"34",35.2307957,-112.5859679,6108,TRUE
"35",34.8379964,-111.4382855,6115,TRUE
"36",34.6116178,-110.3781682,6116,TRUE
"37",33.5656117,-110.9464649,6122,TRUE
"38",33.6103817,-109.1063079,6123,TRUE
"39",35.5413048,-109.3232177,6161,TRUE
"40",33.178809,-110.215069,6172,TRUE
"41",41.8223332,-123.0047055,14001,TRUE
"42",41.1419727,-122.5264669,14002,TRUE
"43",41.1014068,-121.2571315,14003,TRUE
"44",40.4941127,-121.4255289,14008,TRUE
"45",40.5758997,-120.6982799,14009,TRUE
"46",39.1239687,-120.7596199,14013,TRUE
"47",38.3563447,-120.2121659,14017,TRUE
"48",38.3432387,-119.8362579,14018,TRUE
"49",37.3670857,-119.6302109,14022,TRUE
"50",37.1720925,-118.0220022,14023,TRUE
"51",36.7712237,-119.4395069,14027,TRUE
"52",36.2677648,-118.9924775,14028,TRUE
"53",35.1800607,-119.1639019,14033,TRUE
"54",35.0877907,-117.9172289,14035,TRUE
"55",34.8404587,-118.5635609,14040,TRUE
"56",33.9285177,-117.1214679,14046,TRUE
"57",33.3988807,-116.8011859,14047,TRUE
"58",32.5434577,-117.1190639,14050,TRUE
"59",36.6315997,-119.3047559,14054,TRUE
"60",36.0801334,-118.8985706,14055,TRUE
"61",37.2267497,-117.7611699,14058,TRUE
"62",38.8992737,-121.0703359,14072,TRUE
"63",41.6796987,-120.7128219,14073,TRUE
"64",40.7999549,-120.3646258,14076,TRUE
"65",40.8737513,-122.2919583,14077,TRUE
"66",39.7846537,-120.6326679,14078,TRUE
"67",39.9935292,-121.704424,14079,TRUE
"68",38.7754607,-119.8237379,14082,TRUE
"69",37.8002217,-118.5296169,14084,TRUE
"70",32.9696237,-117.0157469,14091,TRUE
"71",38.5562592,-120.2906994,14095,TRUE
"72",38.1752167,-119.1943049,14096,TRUE
"73",38.7202247,-121.0356899,14098,TRUE
"74",34.5675322,-118.55729,14103,TRUE
"75",34.2581397,-118.1049598,14104,TRUE
"76",33.6408199,-117.579092,14105,TRUE
"77",33.1990869,-116.7862853,14106,TRUE
"78",33.6681143,-116.6706725,14107,TRUE
"79",34.3863889,-117.69055,14111,TRUE
"80",34.5208799,-117.9406162,14112,TRUE
"81",34.0813937,-116.8928069,14113,TRUE
"82",36.5074727,-118.0989909,14116,TRUE
"83",36.4664267,-118.6547779,14117,TRUE
"84",33.6484217,-117.4101409,14119,TRUE
"85",33.2380367,-117.3928679,14120,TRUE
"86",35.0586291,-119.3492988,14125,TRUE
"87",33.5004607,-116.7989429,14126,TRUE
"88",34.1748887,-117.6766129,14129,TRUE
"89",34.2452557,-117.0639579,14130,TRUE
"90",36.8189424,-118.9088976,14132,TRUE
"91",34.6685951,-118.3953543,14133,TRUE
"92",35.2233697,-118.8782429,14147,TRUE
"93",41.2351468,-120.3368295,14151,TRUE
"94",38.7687607,-120.9253159,14153,TRUE
"95",37.6375765,-118.6550657,14154,TRUE
"96",37.7472667,-119.8035199,14156,TRUE
"97",38.3755147,-120.6668929,14157,TRUE
"98",39.6153759,-120.4258218,14158,TRUE
"99",40.3357087,-121.9157259,14161,TRUE
"100",40.4932903,-120.1080006,14162,TRUE
"101",41.7332787,-120.3753129,14165,TRUE
"102",41.9998861,-121.8916067,14166,TRUE
"103",41.8224004,-122.0111142,14168,TRUE
"104",41.2323207,-122.1355519,14169,TRUE
"105",38.2592757,-119.2218859,14170,TRUE
"106",41.4000979,-122.0499734,14175,TRUE
"107",41.8190067,-121.0692617,14176,TRUE
