"","x"
"2673",1
"2714",1
"2799",1
"2833",1
"2890",1
"3093",1
"3175",1
"3259",1
"4017",3
"4557",1
"7383",1
"7484",1
"7704",3
"7752",1
"7926",1
"8037",1
"8287",1
"8396",3
"8513",3
"8640",1
"8846",1
"9075",1
"9240",1
"9421",1
"10473",1
"10620",1
"11138",1
"11228",1
"11475",1
"12127",1
"12320",1
"12479",1
"12695",1
"12945",1
"13065",1
"13195",1
"13482",1
"13735",1
"14189",1
"14489",1
"18621",1
"19347",1
"19750",1
"19922",1
"30424",1
"30559",1
"30760",1
"30995",3
"31036",1
"32196",1
"34472",1
"35102",1
"35278",1
"35437",3
"35551",3
"36650",3
"37390",3
"37485",3
"37525",3
"37818",3
"38727",3
"38791",3
"41107",1
"41149",1
"41479",1
"41510",1
"41740",1
"41972",1
"42178",1
"42393",1
"43279",1
"43357",1
"43420",1
"43693",1
"44035",1
"44200",1
"44500",1
"47954",1
"48316",1
"48640",1
"49297",1
"49765",1
"50679",1
"51957",1
"52430",1
"54349",1
"54439",1
"54632",1
"54700",1
"58172",3
"58244",1
"58514",3
"58661",3
"58891",1
"59062",3
"59136",1
"59456",1
"59512",1
"59895",1
"60048",1
"60153",1
"60249",1
"60451",1
"60551",1
"60718",1
"60953",1
"61069",1
"61134",1
"63260",1
"65498",1
"66744",1
"67073",1
"67174",3
"67312",3
"67621",3
"67706",3
"67803",3
"67996",3
"71537",1
"75201",1
"75527",1
"76168",1
"77711",1
"77942",1
"78249",1
"78340",1
"78465",1
"78517",1
"78600",1
"78705",1
"78883",1
"78954",1
"79159",1
"79276",1
"79327",1
"79451",1
"79703",1
"80254",1
"80882",3
"81004",3
"81091",1
"81139",3
"81961",1
"82559",1
"82606",1
"82737",1
"82809",1
"84582",1
"84642",1
"85380",1
